Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,GC Wilson,GC Wilson5,KJ O'Brien,KJ O'Brien6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,PKD Chase,PKD Chase11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,GC Wilson,GC Wilson5,KJ O'Brien,KJ O'Brien6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,EC Joyce,EC Joyce4,NJ O'Brien,NJ O'Brien5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,GH Dockrell,GH Dockrell8,AR McBrine,AR McBrine9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,EC Joyce,EC Joyce4,NJ O'Brien,NJ O'Brien5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,Simi Singh,Simi Singh5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,BJ McCarthy,BJ McCarthy9,WB Rankin,WB Rankin10,TJ Murtagh,TJ Murtagh11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,Simi Singh,Simi Singh5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,TJ Murtagh,TJ Murtagh9,WB Rankin,WB Rankin10,PKD Chase,PKD Chase11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,KJ O'Brien,KJ O'Brien5,Simi Singh,Simi Singh6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,TJ Murtagh,TJ Murtagh9,WB Rankin,WB Rankin10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,NJ O'Brien,NJ O'Brien4,Simi Singh,Simi Singh5,KJ O'Brien,KJ O'Brien6,GC Wilson,GC Wilson7,AR McBrine,AR McBrine8,TJ Murtagh,TJ Murtagh9,WB Rankin,WB Rankin10,PKD Chase,PKD Chase11
lost,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,JA McCollum,JA McCollum4,KJ O'Brien,KJ O'Brien5,Simi Singh,Simi Singh6,SW Poynter,SW Poynter7,GH Dockrell,GH Dockrell8,BJ McCarthy,BJ McCarthy9,TJ Murtagh,TJ Murtagh10,WB Rankin,WB Rankin11
won,WTS Porterfield,WTS Porterfield1,PR Stirling,PR Stirling2,A Balbirnie,A Balbirnie3,Simi Singh,Simi Singh4,KJ O'Brien,KJ O'Brien5,GH Dockrell,GH Dockrell6,SW Poynter,SW Poynter7,AR McBrine,AR McBrine8,WB Rankin,WB Rankin9,TJ Murtagh,TJ Murtagh10,J Cameron-Dow,J Cameron-Dow11
