player-1,player-2,player-3,avg
Arafat Sunny,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Rubel Hossain,Taskin Ahmed,0
Mehidy Hasan Miraz,Mosharraf Hossain,Taskin Ahmed,0
Taijul Islam,Mosharraf Hossain,Taskin Ahmed,0
Mahmudullah,Mosharraf Hossain,Taskin Ahmed,34.5
Mosharraf Hossain,Tamim Iqbal,Taskin Ahmed,73.5
Mosharraf Hossain,Soumya Sarkar,Taskin Ahmed,15
Subashis Roy,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Liton Das,Taskin Ahmed,0
Shakib Al Hasan,Mosharraf Hossain,Taskin Ahmed,54
Mustafizur Rahman,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Anamul Haque,Taskin Ahmed,0
Mohammad Naim,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Sabbir Rahman,Taskin Ahmed,47.5
Mosharraf Hossain,Shafiul Islam,Taskin Ahmed,7
Abul Hasan,Mosharraf Hossain,Taskin Ahmed,0
Jubair Hossain,Mosharraf Hossain,Taskin Ahmed,0
Mosharraf Hossain,Abu Jayed,Taskin Ahmed,0
Mosharraf Hossain,Afif Hossain,Taskin Ahmed,0
Imrul Kayes,Mosharraf Hossain,Taskin Ahmed,120
Mosharraf Hossain,Mohammad Saifuddin,Taskin Ahmed,0
Mosharraf Hossain,Najmul Hossain Shanto,Taskin Ahmed,0
Mominul Haque,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Mushfiqur Rahim,0
Al-Amin Hossain,Mohammad Mithun,Mosharraf Hossain,0
Tanbir Hayder,Mohammad Mithun,Mosharraf Hossain,0
Mashrafe Mortaza,Mohammad Mithun,Mosharraf Hossain,0
Sunzamul Islam,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Mosaddek Hossain,0
Ariful Haque,Mohammad Mithun,Mosharraf Hossain,0
Fazle Mahmud,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Arafat Sunny,0
Mohammad Mithun,Mosharraf Hossain,Rubel Hossain,0
Mehidy Hasan Miraz,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Taijul Islam,0
Mahmudullah,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Tamim Iqbal,0
Mohammad Mithun,Mosharraf Hossain,Soumya Sarkar,0
Mohammad Mithun,Mosharraf Hossain,Subashis Roy,0
Mohammad Mithun,Mosharraf Hossain,Liton Das,0
Mohammad Mithun,Mosharraf Hossain,Shakib Al Hasan,0
Mustafizur Rahman,Mohammad Mithun,Mosharraf Hossain,0
Mohammad Mithun,Mosharraf Hossain,Anamul Haque,0
