p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Liton Das,121,Mehidy Hasan Miraz,32,Imrul Kayes,2,Mushfiqur Rahim,5,Mohammad Mithun,2,Mahmudullah,4,Soumya Sarkar,33,Mashrafe Mortaza,7,Nazmul Islam,7,Mustafizur Rahman,2,Rubel Hossain,0
Liton Das,4,Imrul Kayes,144,Fazle Mahmud,0,Mushfiqur Rahim,15,Mohammad Mithun,37,Mahmudullah,0,Mehidy Hasan Miraz,1,Mohammad Saifuddin,50,Mashrafe Mortaza,2,Mustafizur Rahman,1,Nazmul Islam,0
Liton Das,83,Imrul Kayes,90,Fazle Mahmud,0,Mushfiqur Rahim,40,Mohammad Mithun,24,Mahmudullah,0,Mehidy Hasan Miraz,0,Mohammad Saifuddin,0,Mashrafe Mortaza,0,Mustafizur Rahman,0,Nazmul Islam,0
Liton Das,0,Imrul Kayes,115,Soumya Sarkar,117,Mushfiqur Rahim,28,Mohammad Mithun,7,Mahmudullah,0,Ariful Haque,0,Nazmul Islam,0,Mashrafe Mortaza,0,Mohammad Saifuddin,0,Abu Hider,0
Tamim Iqbal,12,Liton Das,41,Imrul Kayes,4,Mushfiqur Rahim,55,Shakib Al Hasan,30,Soumya Sarkar,19,Mahmudullah,14,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Mustafizur Rahman,0,Rubel Hossain,0
Tamim Iqbal,50,Liton Das,8,Imrul Kayes,0,Mushfiqur Rahim,62,Shakib Al Hasan,65,Mahmudullah,30,Soumya Sarkar,6,Mashrafe Mortaza,6,Mehidy Hasan Miraz,10,Mustafizur Rahman,0,Rubel Hossain,0
Tamim Iqbal,81,Liton Das,23,Soumya Sarkar,80,Mushfiqur Rahim,16,Mohammad Mithun,0,Shakib Al Hasan,0,Mahmudullah,0,Mashrafe Mortaza,0,Mehidy Hasan Miraz,0,Mohammad Saifuddin,0,Mustafizur Rahman,0
Tamim Iqbal,5,Liton Das,1,Soumya Sarkar,30,Mushfiqur Rahim,5,Mohammad Mithun,62,Mahmudullah,13,Sabbir Rahman,13,Mehidy Hasan Miraz,26,Mohammad Saifuddin,41,Mashrafe Mortaza,9,Mustafizur Rahman,0
Tamim Iqbal,5,Liton Das,1,Soumya Sarkar,22,Mushfiqur Rahim,24,Mohammad Mithun,57,Mahmudullah,7,Sabbir Rahman,43,Mehidy Hasan Miraz,16,Mohammad Saifuddin,10,Mashrafe Mortaza,13,Mustafizur Rahman,5
Tamim Iqbal,0,Liton Das,1,Soumya Sarkar,0,Mushfiqur Rahim,17,Mahmudullah,16,Sabbir Rahman,102,Mohammad Saifuddin,44,Mashrafe Mortaza,2,Mehidy Hasan Miraz,37,Rubel Hossain,3,Mustafizur Rahman,0
Tamim Iqbal,80,Soumya Sarkar,73,Shakib Al Hasan,61,Mushfiqur Rahim,32,Mohammad Mithun,0,Mahmudullah,0,Sabbir Rahman,0,Mohammad Saifuddin,0,Mashrafe Mortaza,0,Mehidy Hasan Miraz,0,Mustafizur Rahman,0
Tamim Iqbal,21,Soumya Sarkar,54,Shakib Al Hasan,29,Mushfiqur Rahim,63,Mohammad Mithun,43,Mahmudullah,30,Sabbir Rahman,0,Abu Jayed,0,Mehidy Hasan Miraz,0,Mashrafe Mortaza,0,Mustafizur Rahman,0
Tamim Iqbal,57,Liton Das,76,Shakib Al Hasan,50,Mushfiqur Rahim,35,Mahmudullah,35,Mosaddek Hossain,14,Sabbir Rahman,7,Mashrafe Mortaza,0,Rubel Hossain,0,Abu Jayed,0,Mohammad Saifuddin,0
