,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
1991,Mashrafe Mortaza,Fazle Mahmud,Mohammad Saifuddin,Imrul Kayes,143.0,62.47
1992,Mashrafe Mortaza,Arafat Sunny,Mahmudullah,Rubel Hossain,44.33333333,36.71
1993,Mashrafe Mortaza,Arafat Sunny,Soumya Sarkar,Rubel Hossain,62.25,46.02
1994,Mashrafe Mortaza,Arafat Sunny,Liton Das,Rubel Hossain,50.0,42.03
1995,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Rubel Hossain,25.0,13.459999999999999
1996,Mashrafe Mortaza,Arafat Sunny,Tamim Iqbal,Mahmudullah,96.0,79.22
1997,Mashrafe Mortaza,Arafat Sunny,Soumya Sarkar,Mahmudullah,105.66666670000001,69.4
1998,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Mahmudullah,45.0,36.839999999999996
1999,Mashrafe Mortaza,Arafat Sunny,Sabbir Rahman,Mahmudullah,61.16666667,56.489999999999995
2000,Mashrafe Mortaza,Arafat Sunny,Imrul Kayes,Mahmudullah,118.0,78.69
2001,Mashrafe Mortaza,Arafat Sunny,Tamim Iqbal,Soumya Sarkar,108.5,88.53
2002,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Tamim Iqbal,57.5,55.97
2003,Mashrafe Mortaza,Arafat Sunny,Sabbir Rahman,Tamim Iqbal,79.14285714,75.62
2004,Mashrafe Mortaza,Arafat Sunny,Liton Das,Soumya Sarkar,88.0,74.72
2005,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Soumya Sarkar,63.0,46.15
2006,Mashrafe Mortaza,Arafat Sunny,Sabbir Rahman,Soumya Sarkar,76.0,65.8
2007,Mashrafe Mortaza,Arafat Sunny,Sabbir Rahman,Liton Das,67.5,61.81
2008,Mashrafe Mortaza,Arafat Sunny,Liton Das,Imrul Kayes,104.0,84.00999999999999
2009,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Sabbir Rahman,56.75,33.24
2010,Mashrafe Mortaza,Mustafizur Rahman,Arafat Sunny,Imrul Kayes,95.0,55.44
2011,Mashrafe Mortaza,Arafat Sunny,Sabbir Rahman,Imrul Kayes,81.0,75.09
2012,Mashrafe Mortaza,Mehidy Hasan Miraz,Mahmudullah,Rubel Hossain,51.46666667,41.93
2013,Mashrafe Mortaza,Mehidy Hasan Miraz,Liton Das,Rubel Hossain,48.4,47.25000000000001
2014,Mashrafe Mortaza,Mustafizur Rahman,Mehidy Hasan Miraz,Rubel Hossain,23.15384615,18.68
2015,Mashrafe Mortaza,Mehidy Hasan Miraz,Sabbir Rahman,Rubel Hossain,38.875,38.330000000000005
2016,Mashrafe Mortaza,Mehidy Hasan Miraz,Mohammad Saifuddin,Rubel Hossain,52.0,30.46
2017,Mashrafe Mortaza,Mehidy Hasan Miraz,Najmul Hossain Shanto,Rubel Hossain,43.5,28.28
2018,Mashrafe Mortaza,Taijul Islam,Mahmudullah,Rubel Hossain,62.5,39.84
2019,Mashrafe Mortaza,Taijul Islam,Tamim Iqbal,Rubel Hossain,69.0,58.970000000000006
2020,Mashrafe Mortaza,Tamim Iqbal,Mahmudullah,Rubel Hossain,84.48387097,75.74
2021,Mashrafe Mortaza,Mahmudullah,Soumya Sarkar,Rubel Hossain,68.21739129999999,65.92
2022,Mashrafe Mortaza,Mustafizur Rahman,Mahmudullah,Rubel Hossain,36.625,33.36
2023,Mashrafe Mortaza,Sabbir Rahman,Mahmudullah,Rubel Hossain,54.7,53.01
2024,Mashrafe Mortaza,Abu Jayed,Mahmudullah,Rubel Hossain,35.0,31.959999999999997
2025,Mashrafe Mortaza,Mohammad Saifuddin,Mahmudullah,Rubel Hossain,53.4,45.14
2026,Mashrafe Mortaza,Mahmudullah,Najmul Hossain Shanto,Rubel Hossain,46.5,42.96
2027,Mashrafe Mortaza,Mustafizur Rahman,Tamim Iqbal,Rubel Hossain,54.56,52.49
2028,Mashrafe Mortaza,Tamim Iqbal,Anamul Haque,Rubel Hossain,86.0,67.08999999999999
2029,Mashrafe Mortaza,Abu Jayed,Tamim Iqbal,Rubel Hossain,57.0,51.09
2030,Mashrafe Mortaza,Anamul Haque,Soumya Sarkar,Rubel Hossain,66.0,57.27
2031,Mashrafe Mortaza,Sabbir Rahman,Soumya Sarkar,Rubel Hossain,65.69565217,62.32
2032,Mashrafe Mortaza,Mohammad Saifuddin,Soumya Sarkar,Rubel Hossain,75.0,54.45
2033,Mashrafe Mortaza,Abu Jayed,Liton Das,Rubel Hossain,76.0,37.28
