Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,B Kumar,B Kumar9,MM Sharma,MM Sharma*,UT Yadav,UT Yadav#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,AT Rayudu,AT Rayudu5,SK Raina,SK Raina6,RA Jadeja,RA Jadeja7,AR Patel,AR Patel8,R Ashwin,R Ashwin9,B Kumar,B Kumar*,DS Kulkarni,DS Kulkarni#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,AT Rayudu,AT Rayudu5,SK Raina,SK Raina6,STR Binny,STR Binny7,AR Patel,AR Patel8,R Ashwin,R Ashwin9,DS Kulkarni,DS Kulkarni*,UT Yadav,UT Yadav#
won,AM Rahane,AM Rahane1,M Vijay,M Vijay2,AT Rayudu,AT Rayudu3,MK Tiwary,MK Tiwary4,RV Uthappa,RV Uthappa5,KM Jadhav,KM Jadhav6,STR Binny,STR Binny7,AR Patel,AR Patel8,Harbhajan Singh,Harbhajan Singh9,B Kumar,B Kumar*,DS Kulkarni,DS Kulkarni#
won,AM Rahane,AM Rahane1,M Vijay,M Vijay2,AT Rayudu,AT Rayudu3,MK Tiwary,MK Tiwary4,RV Uthappa,RV Uthappa5,STR Binny,STR Binny6,KM Jadhav,KM Jadhav7,Harbhajan Singh,Harbhajan Singh8,AR Patel,AR Patel9,B Kumar,B Kumar*,DS Kulkarni,DS Kulkarni#
won,AM Rahane,AM Rahane1,M Vijay,M Vijay2,RV Uthappa,RV Uthappa3,MK Tiwary,MK Tiwary4,MK Pandey,MK Pandey5,KM Jadhav,KM Jadhav6,STR Binny,STR Binny7,Harbhajan Singh,Harbhajan Singh8,AR Patel,AR Patel9,B Kumar,B Kumar*,MM Sharma,MM Sharma#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AM Rahane,AM Rahane3,V Kohli,V Kohli4,MS Dhoni,MS Dhoni5,SK Raina,SK Raina6,STR Binny,STR Binny7,B Kumar,B Kumar8,A Mishra,A Mishra9,R Ashwin,R Ashwin*,UT Yadav,UT Yadav#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,AM Rahane,AM Rahane3,V Kohli,V Kohli4,MS Dhoni,MS Dhoni5,SK Raina,SK Raina6,AR Patel,AR Patel7,B Kumar,B Kumar8,Harbhajan Singh,Harbhajan Singh9,UT Yadav,UT Yadav*,MM Sharma,MM Sharma#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,SK Raina,SK Raina5,AM Rahane,AM Rahane6,AR Patel,AR Patel7,Harbhajan Singh,Harbhajan Singh8,B Kumar,B Kumar9,MM Sharma,MM Sharma*,A Mishra,A Mishra#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,Harbhajan Singh,Harbhajan Singh7,AR Patel,AR Patel8,B Kumar,B Kumar9,MM Sharma,MM Sharma*,A Mishra,A Mishra#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,SK Raina,SK Raina5,MS Dhoni,MS Dhoni6,AR Patel,AR Patel7,Harbhajan Singh,Harbhajan Singh8,B Kumar,B Kumar9,A Mishra,A Mishra*,MM Sharma,MM Sharma#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,RA Jadeja,RA Jadeja5,AM Rahane,AM Rahane6,MK Pandey,MK Pandey7,R Ashwin,R Ashwin8,UT Yadav,UT Yadav9,B Kumar,B Kumar*,BB Sran,BB Sran#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,MS Dhoni,MS Dhoni5,MK Pandey,MK Pandey6,RA Jadeja,RA Jadeja7,R Ashwin,R Ashwin8,UT Yadav,UT Yadav9,I Sharma,I Sharma*,BB Sran,BB Sran#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,AM Rahane,AM Rahane4,MS Dhoni,MS Dhoni5,Gurkeerat Singh,Gurkeerat Singh6,RA Jadeja,RA Jadeja7,R Dhawan,R Dhawan8,I Sharma,I Sharma9,UT Yadav,UT Yadav*,BB Sran,BB Sran#
lost,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MS Dhoni,MS Dhoni4,Gurkeerat Singh,Gurkeerat Singh5,RA Jadeja,RA Jadeja6,AM Rahane,AM Rahane7,R Dhawan,R Dhawan8,B Kumar,B Kumar9,UT Yadav,UT Yadav*,I Sharma,I Sharma#
won,RG Sharma,RG Sharma1,S Dhawan,S Dhawan2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,MS Dhoni,MS Dhoni5,Gurkeerat Singh,Gurkeerat Singh6,RA Jadeja,RA Jadeja7,R Dhawan,R Dhawan8,JJ Bumrah,JJ Bumrah9,UT Yadav,UT Yadav*,I Sharma,I Sharma#
won,KL Rahul,KL Rahul1,KK Nair,KK Nair2,AT Rayudu,AT Rayudu3,MK Pandey,MK Pandey4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,AR Patel,AR Patel7,DS Kulkarni,DS Kulkarni8,JJ Bumrah,JJ Bumrah9,BB Sran,BB Sran*,YS Chahal,YS Chahal#
won,KL Rahul,KL Rahul1,KK Nair,KK Nair2,AT Rayudu,AT Rayudu3,MK Pandey,MK Pandey4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,AR Patel,AR Patel7,DS Kulkarni,DS Kulkarni8,JJ Bumrah,JJ Bumrah9,BB Sran,BB Sran*,YS Chahal,YS Chahal#
won,KL Rahul,KL Rahul1,FY Fazal,FY Fazal2,MK Pandey,MK Pandey3,AT Rayudu,AT Rayudu4,KM Jadhav,KM Jadhav5,MS Dhoni,MS Dhoni6,AR Patel,AR Patel7,DS Kulkarni,DS Kulkarni8,JJ Bumrah,JJ Bumrah9,BB Sran,BB Sran*,YS Chahal,YS Chahal#
won,RG Sharma,RG Sharma1,AM Rahane,AM Rahane2,V Kohli,V Kohli3,MK Pandey,MK Pandey4,MS Dhoni,MS Dhoni5,KM Jadhav,KM Jadhav6,HH Pandya,HH Pandya7,AR Patel,AR Patel8,A Mishra,A Mishra9,JJ Bumrah,JJ Bumrah*,UT Yadav,UT Yadav#
