,player-1,player-2,player-3,player-4,avg
243,J Anderson,GJ Delany,J Cameron-Dow,CA Young,0.0
244,J Anderson,GJ Delany,MR Adair,CA Young,0.0
245,BJ McCarthy,J Anderson,GJ Delany,MC Sorensen,0.0
246,BJ McCarthy,J Anderson,GJ Delany,GC Wilson,0.0
247,BJ McCarthy,J Anderson,GJ Delany,LJ Tucker,0.0
248,BJ McCarthy,J Anderson,GJ Delany,JB Little,0.0
249,BJ McCarthy,J Anderson,GJ Delany,EC Joyce,0.0
250,BJ McCarthy,J Anderson,GJ Delany,JF Mooney,0.0
251,BJ McCarthy,J Anderson,GJ Delany,JA McCollum,0.0
252,BJ McCarthy,J Anderson,GJ Delany,TJ Murtagh,0.0
253,BJ McCarthy,J Anderson,GJ Delany,KJ O'Brien,0.0
254,BJ McCarthy,J Anderson,GJ Delany,A Balbirnie,0.0
255,BJ McCarthy,J Anderson,GJ Delany,C Campher,0.0
256,BJ McCarthy,J Anderson,GJ Delany,AR Cusack,0.0
257,BJ McCarthy,J Anderson,GJ Delany,SW Poynter,0.0
258,BJ McCarthy,J Anderson,GJ Delany,PKD Chase,0.0
259,BJ McCarthy,J Anderson,GJ Delany,SP Terry,0.0
260,BJ McCarthy,J Anderson,GJ Delany,WTS Porterfield,0.0
261,BJ McCarthy,J Anderson,GJ Delany,Simi Singh,0.0
262,BJ McCarthy,J Anderson,GJ Delany,J Cameron-Dow,0.0
263,BJ McCarthy,J Anderson,GJ Delany,MR Adair,0.0
264,GC Wilson,J Anderson,GJ Delany,MC Sorensen,0.0
265,LJ Tucker,J Anderson,GJ Delany,MC Sorensen,0.0
266,JB Little,J Anderson,GJ Delany,MC Sorensen,0.0
267,J Anderson,GJ Delany,MC Sorensen,EC Joyce,0.0
268,J Anderson,GJ Delany,MC Sorensen,JF Mooney,0.0
269,J Anderson,GJ Delany,MC Sorensen,JA McCollum,0.0
270,J Anderson,GJ Delany,MC Sorensen,TJ Murtagh,0.0
271,KJ O'Brien,J Anderson,GJ Delany,MC Sorensen,0.0
272,J Anderson,GJ Delany,MC Sorensen,A Balbirnie,0.0
273,J Anderson,GJ Delany,MC Sorensen,C Campher,0.0
274,J Anderson,GJ Delany,MC Sorensen,AR Cusack,0.0
275,J Anderson,GJ Delany,MC Sorensen,SW Poynter,0.0
276,PKD Chase,J Anderson,GJ Delany,MC Sorensen,0.0
