,player-1,player-2,avg
436,NJ O'Brien,GJ Delany,0.0
437,JA McCollum,GJ Delany,0.0
438,JF Mooney,GJ Delany,0.0
439,SR Thompson,GJ Delany,0.0
440,Simi Singh,GJ Delany,29.75
441,CA Young,PR Stirling,31.5
442,CA Young,AR Cusack,17.5
443,CA Young,AR McBrine,22.0
444,CA Young,J Mulder,0.0
445,CA Young,J Cameron-Dow,0.0
446,NJ O'Brien,CA Young,22.4
447,JA McCollum,CA Young,29.0
448,CA Young,JF Mooney,3.0
449,CA Young,SR Thompson,24.0
450,CA Young,Simi Singh,14.5
451,PR Stirling,AR Cusack,27.0
452,PR Stirling,AR McBrine,49.810810810810814
453,PR Stirling,J Mulder,54.0
454,PR Stirling,J Cameron-Dow,36.0
455,NJ O'Brien,PR Stirling,63.25
456,JA McCollum,PR Stirling,83.11111111111111
457,PR Stirling,JF Mooney,37.0
458,SR Thompson,PR Stirling,52.3
459,Simi Singh,PR Stirling,39.125
460,AR McBrine,AR Cusack,2.0
461,J Mulder,AR Cusack,0.0
462,J Cameron-Dow,AR Cusack,0.0
463,NJ O'Brien,AR Cusack,37.6
464,JA McCollum,AR Cusack,0.0
465,JF Mooney,AR Cusack,16.6
466,SR Thompson,AR Cusack,13.0
467,Simi Singh,AR Cusack,0.0
468,AR McBrine,J Mulder,8.5
469,AR McBrine,J Cameron-Dow,5.666666666666667
470,NJ O'Brien,AR McBrine,30.4
471,JA McCollum,AR McBrine,34.666666666666664
472,AR McBrine,JF Mooney,14.166666666666666
473,SR Thompson,AR McBrine,21.0
474,Simi Singh,AR McBrine,28.583333333333332
475,J Mulder,J Cameron-Dow,0.0
476,NJ O'Brien,J Mulder,29.5
477,JA McCollum,J Mulder,0.0
478,JF Mooney,J Mulder,0.0
479,SR Thompson,J Mulder,9.333333333333334
480,Simi Singh,J Mulder,0.0
481,NJ O'Brien,J Cameron-Dow,0.0
482,JA McCollum,J Cameron-Dow,0.0
483,JF Mooney,J Cameron-Dow,0.0
484,SR Thompson,J Cameron-Dow,0.0
485,Simi Singh,J Cameron-Dow,13.666666666666666
486,JA McCollum,NJ O'Brien,0.0
487,NJ O'Brien,JF Mooney,45.44444444444444
488,NJ O'Brien,SR Thompson,38.875
489,NJ O'Brien,Simi Singh,39.142857142857146
490,JA McCollum,JF Mooney,0.0
491,JA McCollum,SR Thompson,0.0
492,JA McCollum,Simi Singh,19.0
493,SR Thompson,JF Mooney,17.25
494,Simi Singh,JF Mooney,0.0
495,SR Thompson,Simi Singh,0.0
