Result,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
won,DA Warner,93,AJ Finch,107,MR Marsh,33,SPD Smith,51,GJ Maxwell,41,GJ Bailey,10,JP Faulkner,0,MS Wade,0,JW Hastings,0,KW Richardson,0,NM Lyon,0
lost,AJ Finch,6,DA Warner,122,SPD Smith,28,GJ Bailey,6,SE Marsh,7,MR Marsh,102,MS Wade,36,JP Faulkner,1,JW Hastings,2,SM Boland,0,NM Lyon,0
lost,SE Marsh,5,DA Warner,12,SPD Smith,18,GJ Bailey,2,GJ Maxwell,0,MR Marsh,0,MS Wade,37,JP Faulkner,36,JW Hastings,8,KW Richardson,19,JR Hazlewood,0
won,UT Khawaja,50,DA Warner,98,SPD Smith,2,GJ Bailey,0,GJ Maxwell,6,MR Marsh,69,MS Wade,2,JW Hastings,48,A Zampa,0,JR Hazlewood,0,SM Boland,0
lost,UT Khawaja,44,DA Warner,16,SPD Smith,21,GJ Bailey,33,GJ Maxwell,0,MR Marsh,41,MS Wade,17,JW Hastings,6,A Zampa,2,JR Hazlewood,5,SM Boland,2
won,DA Warner,55,AJ Finch,19,UT Khawaja,27,SPD Smith,6,GJ Maxwell,0,MR Marsh,9,MS Wade,0,A Zampa,0,MA Starc,0,JR Hazlewood,0,NM Lyon,0
lost,DA Warner,1,AJ Finch,72,UT Khawaja,2,SPD Smith,8,GJ Maxwell,3,MR Marsh,8,MS Wade,2,NM Coulter-Nile,0,A Zampa,0,NM Lyon,30,JR Hazlewood,11
won,DA Warner,109,AJ Finch,13,UT Khawaja,59,SPD Smith,52,GJ Bailey,11,MR Marsh,10,MS Wade,24,JP Faulkner,1,MA Starc,0,A Zampa,0,JR Hazlewood,0
lost,UT Khawaja,98,AJ Finch,0,SPD Smith,74,GJ Bailey,55,MR Marsh,16,TM Head,1,MS Wade,5,JP Faulkner,4,NM Coulter-Nile,1,A Zampa,0,JR Hazlewood,0
won,UT Khawaja,17,AJ Finch,16,SPD Smith,78,GJ Bailey,34,MR Marsh,79,GJ Maxwell,46,MS Wade,0,JP Faulkner,0,MA Starc,0,JR Hazlewood,0,SM Boland,0
