player-1,player-2,player-3,avg
R Ngarava,TS Chisoro,PJ Moor,12
R Ngarava,TS Chisoro,Mohammad Mithun,0
R Ngarava,TS Chisoro,LM Jongwe,0
R Ngarava,TS Chisoro,CT Mutombodzi,0
R Ngarava,TS Chisoro,Mohammad Saifuddin,0
R Ngarava,TS Chisoro,Taijul Islam,0
R Ngarava,TS Chisoro,Mustafizur Rahman,0
R Ngarava,TS Chisoro,AG Cremer,0
R Ngarava,TS Chisoro,TL Chatara,0
R Ngarava,TS Chisoro,BV Vitori,0
R Ngarava,TS Chisoro,TK Musakanda,6.5
R Ngarava,TS Chisoro,WP Masakadza,7.5
R Ngarava,TS Chisoro,CR Ervine,0
R Ngarava,TS Chisoro,Najmul Hossain Shanto,0
R Ngarava,TS Chisoro,W Madhevere,0
R Ngarava,TS Chisoro,B Muzarabani,4
TS Chisoro,BRM Taylor,N Madziva,0
V Sibanda,TS Chisoro,N Madziva,0
TS Chisoro,N Madziva,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,N Madziva,0
TS Chisoro,Sikandar Raza,N Madziva,18
TS Chisoro,CT Mumba,N Madziva,0
TS Chisoro,T Panyangara,N Madziva,0
TS Chisoro,N Madziva,CK Tshuma,0
TS Chisoro,R Murray,N Madziva,0
TS Chisoro,SC Williams,N Madziva,0
TS Chisoro,RW Chakabva,N Madziva,0
TS Chisoro,P Utseya,N Madziva,0
TS Chisoro,N Madziva,Liton Das,0
TS Chisoro,N Madziva,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,N Madziva,0
TS Chisoro,J Nyumbu,N Madziva,0
TS Chisoro,R Mutumbami,N Madziva,27.66666667
TS Chisoro,N Madziva,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,N Madziva,0
TS Chisoro,C Zhuwao,N Madziva,0
