player-1,player-2,avg
CK Tshuma,RP Burl,0
RP Burl,T Muzarabani,0
RP Burl,Sikandar Raza,45.4
TS Chisoro,RP Burl,0
RP Burl,Mohammad Saifuddin,0
RP Burl,R Murray,0
B Muzarabani,RP Burl,7
T Maruma,RP Burl,0
RP Burl,CK Coventry,0
RP Burl,Taijul Islam,0
RP Burl,AG Cremer,12.27272727
H Masakadza,SF Mire,46.44444444
H Masakadza,W Madhevere,0
H Masakadza,R Ngarava,12.75
H Masakadza,T Panyangara,37.38461538
H Masakadza,V Sibanda,45
H Masakadza,Mahmudullah,0
H Masakadza,CT Mutombodzi,0
H Masakadza,BB Chari,37
H Masakadza,SC Williams,61.18181818
H Masakadza,DT Tiripano,29.47368421
H Masakadza,TS Kamunhukamwe,36
H Masakadza,Tamim Iqbal,0
H Masakadza,PS Masvaure,42
H Masakadza,Najmul Hossain Shanto,0
H Masakadza,TL Chatara,27.67647059
H Masakadza,ehidy Hasan Miraz,0
H Masakadza,Liton Das,0
H Masakadza,BV Vitori,27.44444444
H Masakadza,E Chigumbura,54.22222222
H Masakadza,Mushfiqur Rahim,0
H Masakadza,LN Roche,34.66666667
H Masakadza,Mustafizur Rahman,0
H Masakadza,T Mupariwa,16.4
H Masakadza,PJ Moor,49.1
H Masakadza,C Zhuwao,23.33333333
H Masakadza,RW Chakabva,31.57142857
H Masakadza,Mohammad Mithun,0
H Masakadza,BRM Taylor,65.34615385
H Masakadza,R Mutumbami,45.5625
H Masakadza,MN Waller,45.77272727
H Masakadza,Mashrafe Mortaza,0
H Masakadza,CB Mpofu,38
H Masakadza,J Nyumbu,27.33333333
H Masakadza,TK Musakanda,51.72727273
H Masakadza,TP Kamungozi,45.5
H Masakadza,KM Jarvis,26.11764706
H Masakadza,S Matsikenyeri,24
H Masakadza,CR Ervine,54.23684211
H Masakadza,CJ Chibhabha,62.08695652
H Masakadza,CT Mumba,113
H Masakadza,CK Tshuma,0
H Masakadza,T Muzarabani,25.33333333
H Masakadza,Sikandar Raza,58.32608696
H Masakadza,TS Chisoro,40.7
H Masakadza,Mohammad Saifuddin,0
H Masakadza,R Murray,48
H Masakadza,B Muzarabani,21
H Masakadza,T Maruma,25
H Masakadza,CK Coventry,28
H Masakadza,Taijul Islam,0
H Masakadza,AG Cremer,38
W Madhevere,SF Mire,0
R Ngarava,SF Mire,23.6
T Panyangara,SF Mire,20
V Sibanda,SF Mire,0
Mahmudullah,SF Mire,0
CT Mutombodzi,SF Mire,0
BB Chari,SF Mire,0
SC Williams,SF Mire,52
DT Tiripano,SF Mire,39.8
TS Kamunhukamwe,SF Mire,0
Tamim Iqbal,SF Mire,0
PS Masvaure,SF Mire,0
Najmul Hossain Shanto,SF Mire,0
TL Chatara,SF Mire,20.13793103
ehidy Hasan Miraz,SF Mire,0
Liton Das,SF Mire,0
BV Vitori,SF Mire,23
E Chigumbura,SF Mire,24.6
Mushfiqur Rahim,SF Mire,0
LN Roche,SF Mire,0
Mustafizur Rahman,SF Mire,0
T Mupariwa,SF Mire,15.66666667
PJ Moor,SF Mire,35.52941176
C Zhuwao,SF Mire,26.66666667
RW Chakabva,SF Mire,23.5
Mohammad Mithun,SF Mire,0
BRM Taylor,SF Mire,60.38095238
R Mutumbami,SF Mire,24
MN Waller,SF Mire,36.78947368
Mashrafe Mortaza,SF Mire,0
CB Mpofu,SF Mire,26.75
J Nyumbu,SF Mire,0
TK Musakanda,SF Mire,42.9
TP Kamungozi,SF Mire,27
KM Jarvis,SF Mire,21.07692308
S Matsikenyeri,SF Mire,0
CR Ervine,SF Mire,37.51612903
CJ Chibhabha,SF Mire,38.25
CT Mumba,SF Mire,15
CK Tshuma,SF Mire,0
T Muzarabani,SF Mire,0
Sikandar Raza,SF Mire,50.54166667
TS Chisoro,SF Mire,31.66666667
Mohammad Saifuddin,SF Mire,0
R Murray,SF Mire,0
B Muzarabani,SF Mire,14.90909091
T Maruma,SF Mire,0
CK Coventry,SF Mire,0
Taijul Islam,SF Mire,0
AG Cremer,SF Mire,30
W Madhevere,R Ngarava,0
W Madhevere,T Panyangara,0
W Madhevere,V Sibanda,0
W Madhevere,Mahmudullah,0
W Madhevere,CT Mutombodzi,67.5
W Madhevere,BB Chari,0
W Madhevere,SC Williams,69
W Madhevere,DT Tiripano,82
W Madhevere,TS Kamunhukamwe,74.5
W Madhevere,Tamim Iqbal,0
W Madhevere,PS Masvaure,0
W Madhevere,Najmul Hossain Shanto,0
W Madhevere,TL Chatara,0
W Madhevere,ehidy Hasan Miraz,0
W Madhevere,Liton Das,0
W Madhevere,BV Vitori,0
W Madhevere,E Chigumbura,0
W Madhevere,Mushfiqur Rahim,0
W Madhevere,LN Roche,0
W Madhevere,Mustafizur Rahman,0
W Madhevere,T Mupariwa,0
W Madhevere,PJ Moor,0
W Madhevere,C Zhuwao,0
W Madhevere,RW Chakabva,65
W Madhevere,Mohammad Mithun,0
W Madhevere,BRM Taylor,59.5
W Madhevere,R Mutumbami,56.5
