p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Mohammad Shahzad,13,Najeeb Tarakai,5,Rahmat Shah,108,Asghar Afghan,39,Samiullah Shinwari,62,Rashid Khan,0,Gulbadin Naib,0,Dawlat Zadran,0,Fareed Ahmad,0,Mohammad Nabi,0,Shafiqullah,0
Noor Ali Zadran,5,Javed Ahmadi,81,Rahmat Shah,17,Asghar Afghan,2,Samiullah Shinwari,22,Mohammad Nabi,27,Afsar Zazai,13,Gulbadin Naib,41,Rashid Khan,0,Amir Hamza,0,Dawlat Zadran,0
Noor Ali Zadran,8,Javed Ahmadi,9,Rahmat Shah,1,Samiullah Shinwari,2,Asghar Afghan,11,Mohammad Nabi,13,Afsar Zazai,9,Gulbadin Naib,51,Rashid Khan,7,Dawlat Zadran,9,Amir Hamza,0
Javed Ahmadi,10,Ihsanullah,10,Rahmat Shah,50,Nasir Jamal,53,Asghar Afghan,2,Mohammad Nabi,0,Gulbadin Naib,17,Rashid Khan,48,Shafiqullah,36,Dawlat Zadran,1,Mujeeb Ur Rahman,0
Javed Ahmadi,48,Ihsanullah,20,Rahmat Shah,32,Asghar Afghan,12,Nasir Jamal,25,Mohammad Nabi,29,Gulbadin Naib,3,Rashid Khan,16,Shafiqullah,0,Dawlat Zadran,12,Mujeeb Ur Rahman,0
Javed Ahmadi,27,Noor Ali Zadran,9,Rahmat Shah,44,Asghar Afghan,5,Nasir Jamal,18,Mohammad Nabi,1,Gulbadin Naib,15,Rashid Khan,44,Shafiqullah,0,Shapoor Zadran,0,Mujeeb Ur Rahman,4
Mohammad Shahzad,36,Ihsanullah,54,Rahmat Shah,114,Asghar Afghan,3,Nasir Jamal,31,Najibullah Zadran,81,Dawlat Zadran,0,Mujeeb Ur Rahman,0,Gulbadin Naib,0,Mohammad Nabi,0,Rashid Khan,0
Mohammad Shahzad,15,Ihsanullah,2,Rahmat Shah,43,Asghar Afghan,1,Nasir Jamal,0,Najibullah Zadran,3,Mohammad Nabi,31,Gulbadin Naib,0,Rashid Khan,8,Dawlat Zadran,47,Mujeeb Ur Rahman,15
Mohammad Shahzad,7,Ihsanullah,12,Rahmat Shah,56,Nasir Jamal,51,Mohammad Nabi,18,Najibullah Zadran,8,Dawlat Zadran,0,Mujeeb Ur Rahman,0,Gulbadin Naib,0,Asghar Afghan,0,Rashid Khan,0
Mohammad Shahzad,75,Ihsanullah,51,Asghar Afghan,0,Mohammad Nabi,0,Rashid Khan,0,Sharafuddin Ashraf,0,Dawlat Zadran,0,Mujeeb Ur Rahman,0,Najibullah Zadran,0,Rahmat Shah,0,Nasir Jamal,0
