player-1,player-2,player-3,avg
Najeeb Tarakai,Mohammad Shahzad,Rokhan Barakzai,0
Najeeb Tarakai,Noor Ali Zadran,Rokhan Barakzai,0
Najeeb Tarakai,Hashmatullah Shahidi,Rokhan Barakzai,0
Najeeb Tarakai,Mujeeb Ur Rahman,Rokhan Barakzai,0
Najeeb Tarakai,Sayed Shirzad,Rokhan Barakzai,0
Najeeb Tarakai,Nawroz Mangal,Rokhan Barakzai,0
Najeeb Tarakai,Shabir Noori,Afsar Zazai,0
Najeeb Tarakai,Shabir Noori,Hamid Hassan,0
Najeeb Tarakai,Shabir Noori,Javed Ahmadi,0
Najeeb Tarakai,Shabir Noori,Hazratullah Zazai,0
Najeeb Tarakai,Shabir Noori,Fareed Ahmad,0
Najeeb Tarakai,Shabir Noori,Amir Hamza,0
Najeeb Tarakai,Shabir Noori,Samiullah Shinwari,0
Najeeb Tarakai,Shabir Noori,Asghar Afghan,0
Najeeb Tarakai,Shabir Noori,Ikram Alikhil,0
Najeeb Tarakai,Shabir Noori,Karim Janat,0
Najeeb Tarakai,Shabir Noori,Usman Ghani,0
Najeeb Tarakai,Shabir Noori,Ihsanullah,0
Najeeb Tarakai,Shabir Noori,Nasir Jamal,0
Najeeb Tarakai,Shabir Noori,Rashid Khan,0
Najeeb Tarakai,Shabir Noori,Rahmat Shah,0
Najeeb Tarakai,Shabir Noori,Naveen-ul-Haq,0
Najeeb Tarakai,Shabir Noori,Ibrahim Zadran,0
Najeeb Tarakai,Shabir Noori,Sharafuddin Ashraf,0
Najeeb Tarakai,Shabir Noori,Yamin Ahmadzai,0
Najeeb Tarakai,Shabir Noori,Dawlat Zadran,0
Najeeb Tarakai,Shabir Noori,Gulbadin Naib,0
Najeeb Tarakai,Shabir Noori,Mohammad Nabi,0
Najeeb Tarakai,Shabir Noori,Shapoor Zadran,0
Najeeb Tarakai,Shabir Noori,Aftab Alam,0
Najeeb Tarakai,Shabir Noori,Shafiqullah,0
Najeeb Tarakai,Shabir Noori,Mohammad Shahzad,0
Najeeb Tarakai,Shabir Noori,Noor Ali Zadran,0
Najeeb Tarakai,Shabir Noori,Hashmatullah Shahidi,0
Najeeb Tarakai,Shabir Noori,Mujeeb Ur Rahman,0
Najeeb Tarakai,Shabir Noori,Sayed Shirzad,0
Najeeb Tarakai,Shabir Noori,Nawroz Mangal,0
Najeeb Tarakai,Afsar Zazai,Hamid Hassan,0
Najeeb Tarakai,Afsar Zazai,Javed Ahmadi,0
Najeeb Tarakai,Afsar Zazai,Hazratullah Zazai,0
Najeeb Tarakai,Afsar Zazai,Fareed Ahmad,0
Najeeb Tarakai,Afsar Zazai,Amir Hamza,0
Najeeb Tarakai,Afsar Zazai,Samiullah Shinwari,0
Najeeb Tarakai,Afsar Zazai,Asghar Afghan,0
Najeeb Tarakai,Afsar Zazai,Ikram Alikhil,0
Najeeb Tarakai,Afsar Zazai,Karim Janat,0
Najeeb Tarakai,Afsar Zazai,Usman Ghani,0
Najeeb Tarakai,Afsar Zazai,Ihsanullah,0
Najeeb Tarakai,Afsar Zazai,Nasir Jamal,0
Najeeb Tarakai,Afsar Zazai,Rashid Khan,0
Najeeb Tarakai,Afsar Zazai,Rahmat Shah,0
Najeeb Tarakai,Afsar Zazai,Naveen-ul-Haq,0
Najeeb Tarakai,Afsar Zazai,Ibrahim Zadran,0
Najeeb Tarakai,Afsar Zazai,Sharafuddin Ashraf,0
Najeeb Tarakai,Afsar Zazai,Yamin Ahmadzai,0
Najeeb Tarakai,Afsar Zazai,Dawlat Zadran,0
Najeeb Tarakai,Afsar Zazai,Gulbadin Naib,0
Najeeb Tarakai,Afsar Zazai,Mohammad Nabi,0
Najeeb Tarakai,Afsar Zazai,Shapoor Zadran,0
Najeeb Tarakai,Afsar Zazai,Aftab Alam,0
Najeeb Tarakai,Afsar Zazai,Shafiqullah,0
Najeeb Tarakai,Afsar Zazai,Mohammad Shahzad,0
Najeeb Tarakai,Afsar Zazai,Noor Ali Zadran,0
Najeeb Tarakai,Afsar Zazai,Hashmatullah Shahidi,0
Najeeb Tarakai,Afsar Zazai,Mujeeb Ur Rahman,0
Najeeb Tarakai,Afsar Zazai,Sayed Shirzad,0
Najeeb Tarakai,Afsar Zazai,Nawroz Mangal,0
Najeeb Tarakai,Hamid Hassan,Javed Ahmadi,0
Najeeb Tarakai,Hamid Hassan,Hazratullah Zazai,0
Najeeb Tarakai,Hamid Hassan,Fareed Ahmad,0
Najeeb Tarakai,Hamid Hassan,Amir Hamza,0
Najeeb Tarakai,Hamid Hassan,Samiullah Shinwari,0
Najeeb Tarakai,Hamid Hassan,Asghar Afghan,0
Najeeb Tarakai,Hamid Hassan,Ikram Alikhil,0
Najeeb Tarakai,Hamid Hassan,Karim Janat,0
Najeeb Tarakai,Hamid Hassan,Usman Ghani,0
Najeeb Tarakai,Hamid Hassan,Ihsanullah,0
Najeeb Tarakai,Hamid Hassan,Nasir Jamal,0
Najeeb Tarakai,Hamid Hassan,Rashid Khan,0
Najeeb Tarakai,Hamid Hassan,Rahmat Shah,0
Najeeb Tarakai,Hamid Hassan,Naveen-ul-Haq,0
Najeeb Tarakai,Hamid Hassan,Ibrahim Zadran,0
Najeeb Tarakai,Hamid Hassan,Sharafuddin Ashraf,0
Najeeb Tarakai,Hamid Hassan,Yamin Ahmadzai,0
Najeeb Tarakai,Hamid Hassan,Dawlat Zadran,0
Najeeb Tarakai,Hamid Hassan,Gulbadin Naib,0
Najeeb Tarakai,Hamid Hassan,Mohammad Nabi,0
Najeeb Tarakai,Hamid Hassan,Shapoor Zadran,0
Najeeb Tarakai,Hamid Hassan,Aftab Alam,0
Najeeb Tarakai,Hamid Hassan,Shafiqullah,0
Najeeb Tarakai,Hamid Hassan,Mohammad Shahzad,0
Najeeb Tarakai,Hamid Hassan,Noor Ali Zadran,0
Najeeb Tarakai,Hamid Hassan,Hashmatullah Shahidi,0
Najeeb Tarakai,Hamid Hassan,Mujeeb Ur Rahman,0
Najeeb Tarakai,Hamid Hassan,Sayed Shirzad,0
Najeeb Tarakai,Hamid Hassan,Nawroz Mangal,0
Najeeb Tarakai,Javed Ahmadi,Hazratullah Zazai,0
Najeeb Tarakai,Javed Ahmadi,Fareed Ahmad,0
Najeeb Tarakai,Amir Hamza,Javed Ahmadi,0
Najeeb Tarakai,Javed Ahmadi,Samiullah Shinwari,0
Najeeb Tarakai,Javed Ahmadi,Asghar Afghan,0
Najeeb Tarakai,Javed Ahmadi,Ikram Alikhil,0
Najeeb Tarakai,Javed Ahmadi,Karim Janat,0
Najeeb Tarakai,Javed Ahmadi,Usman Ghani,0
Najeeb Tarakai,Ihsanullah,Javed Ahmadi,0
Najeeb Tarakai,Javed Ahmadi,Nasir Jamal,0
Najeeb Tarakai,Javed Ahmadi,Rashid Khan,0
Najeeb Tarakai,Javed Ahmadi,Rahmat Shah,0
Najeeb Tarakai,Javed Ahmadi,Naveen-ul-Haq,0
Najeeb Tarakai,Ibrahim Zadran,Javed Ahmadi,0
Najeeb Tarakai,Javed Ahmadi,Sharafuddin Ashraf,0
Najeeb Tarakai,Javed Ahmadi,Yamin Ahmadzai,0
Najeeb Tarakai,Javed Ahmadi,Dawlat Zadran,0
Najeeb Tarakai,Javed Ahmadi,Gulbadin Naib,0
Najeeb Tarakai,Javed Ahmadi,Mohammad Nabi,0
Najeeb Tarakai,Javed Ahmadi,Shapoor Zadran,0
Najeeb Tarakai,Javed Ahmadi,Aftab Alam,0
Najeeb Tarakai,Javed Ahmadi,Shafiqullah,0
Najeeb Tarakai,Javed Ahmadi,Mohammad Shahzad,0
Najeeb Tarakai,Javed Ahmadi,Noor Ali Zadran,0
Najeeb Tarakai,Javed Ahmadi,Hashmatullah Shahidi,0
Najeeb Tarakai,Javed Ahmadi,Mujeeb Ur Rahman,0
Najeeb Tarakai,Javed Ahmadi,Sayed Shirzad,0
Najeeb Tarakai,Javed Ahmadi,Nawroz Mangal,0
Najeeb Tarakai,Hazratullah Zazai,Fareed Ahmad,0
Najeeb Tarakai,Amir Hamza,Hazratullah Zazai,0
Najeeb Tarakai,Hazratullah Zazai,Samiullah Shinwari,0
Najeeb Tarakai,Hazratullah Zazai,Asghar Afghan,0
Najeeb Tarakai,Hazratullah Zazai,Ikram Alikhil,0
Najeeb Tarakai,Hazratullah Zazai,Karim Janat,0
Najeeb Tarakai,Hazratullah Zazai,Usman Ghani,0
Najeeb Tarakai,Ihsanullah,Hazratullah Zazai,0
Najeeb Tarakai,Hazratullah Zazai,Nasir Jamal,0
Najeeb Tarakai,Hazratullah Zazai,Rashid Khan,0
Najeeb Tarakai,Hazratullah Zazai,Rahmat Shah,0
Najeeb Tarakai,Hazratullah Zazai,Naveen-ul-Haq,0
Najeeb Tarakai,Ibrahim Zadran,Hazratullah Zazai,0
Najeeb Tarakai,Hazratullah Zazai,Sharafuddin Ashraf,0
Najeeb Tarakai,Hazratullah Zazai,Yamin Ahmadzai,0
Najeeb Tarakai,Hazratullah Zazai,Dawlat Zadran,0
Najeeb Tarakai,Hazratullah Zazai,Gulbadin Naib,0
Najeeb Tarakai,Hazratullah Zazai,Mohammad Nabi,0
Najeeb Tarakai,Hazratullah Zazai,Shapoor Zadran,0
Najeeb Tarakai,Hazratullah Zazai,Aftab Alam,0
Najeeb Tarakai,Hazratullah Zazai,Shafiqullah,0
Najeeb Tarakai,Hazratullah Zazai,Mohammad Shahzad,0
Najeeb Tarakai,Hazratullah Zazai,Noor Ali Zadran,0
Najeeb Tarakai,Hazratullah Zazai,Hashmatullah Shahidi,0
Najeeb Tarakai,Hazratullah Zazai,Mujeeb Ur Rahman,0
Najeeb Tarakai,Hazratullah Zazai,Sayed Shirzad,0
Najeeb Tarakai,Hazratullah Zazai,Nawroz Mangal,0
Najeeb Tarakai,Amir Hamza,Fareed Ahmad,0
Najeeb Tarakai,Fareed Ahmad,Samiullah Shinwari,67
Najeeb Tarakai,Fareed Ahmad,Asghar Afghan,44
Najeeb Tarakai,Fareed Ahmad,Ikram Alikhil,0
Najeeb Tarakai,Fareed Ahmad,Karim Janat,0
Najeeb Tarakai,Fareed Ahmad,Usman Ghani,0
Najeeb Tarakai,Ihsanullah,Fareed Ahmad,0
Najeeb Tarakai,Fareed Ahmad,Nasir Jamal,0
Najeeb Tarakai,Fareed Ahmad,Rashid Khan,5
Najeeb Tarakai,Fareed Ahmad,Rahmat Shah,113
Najeeb Tarakai,Fareed Ahmad,Naveen-ul-Haq,0
Najeeb Tarakai,Ibrahim Zadran,Fareed Ahmad,0
Najeeb Tarakai,Fareed Ahmad,Sharafuddin Ashraf,0
Najeeb Tarakai,Fareed Ahmad,Yamin Ahmadzai,0
Najeeb Tarakai,Fareed Ahmad,Dawlat Zadran,5
Najeeb Tarakai,Fareed Ahmad,Gulbadin Naib,5
Najeeb Tarakai,Fareed Ahmad,Mohammad Nabi,5
Najeeb Tarakai,Fareed Ahmad,Shapoor Zadran,0
Najeeb Tarakai,Fareed Ahmad,Aftab Alam,0
Najeeb Tarakai,Fareed Ahmad,Shafiqullah,5
Najeeb Tarakai,Fareed Ahmad,Mohammad Shahzad,18
Najeeb Tarakai,Fareed Ahmad,Noor Ali Zadran,0
Najeeb Tarakai,Fareed Ahmad,Hashmatullah Shahidi,0
Najeeb Tarakai,Fareed Ahmad,Mujeeb Ur Rahman,0
Najeeb Tarakai,Fareed Ahmad,Sayed Shirzad,0
Najeeb Tarakai,Fareed Ahmad,Nawroz Mangal,0
Najeeb Tarakai,Amir Hamza,Samiullah Shinwari,0
Najeeb Tarakai,Amir Hamza,Asghar Afghan,0
Najeeb Tarakai,Amir Hamza,Ikram Alikhil,0
Najeeb Tarakai,Amir Hamza,Karim Janat,0
Najeeb Tarakai,Amir Hamza,Usman Ghani,0
Najeeb Tarakai,Amir Hamza,Ihsanullah,0
Najeeb Tarakai,Amir Hamza,Nasir Jamal,0
Najeeb Tarakai,Amir Hamza,Rashid Khan,0
Najeeb Tarakai,Amir Hamza,Rahmat Shah,0
Najeeb Tarakai,Amir Hamza,Naveen-ul-Haq,0
Najeeb Tarakai,Amir Hamza,Ibrahim Zadran,0
Najeeb Tarakai,Amir Hamza,Sharafuddin Ashraf,0
Najeeb Tarakai,Amir Hamza,Yamin Ahmadzai,0
Najeeb Tarakai,Amir Hamza,Dawlat Zadran,0
Najeeb Tarakai,Amir Hamza,Gulbadin Naib,0
Najeeb Tarakai,Amir Hamza,Mohammad Nabi,0
Najeeb Tarakai,Amir Hamza,Shapoor Zadran,0
Najeeb Tarakai,Amir Hamza,Aftab Alam,0
Najeeb Tarakai,Amir Hamza,Shafiqullah,0
Najeeb Tarakai,Amir Hamza,Mohammad Shahzad,0
Najeeb Tarakai,Amir Hamza,Noor Ali Zadran,0
Najeeb Tarakai,Amir Hamza,Hashmatullah Shahidi,0
Najeeb Tarakai,Amir Hamza,Mujeeb Ur Rahman,0
Najeeb Tarakai,Amir Hamza,Sayed Shirzad,0
Najeeb Tarakai,Amir Hamza,Nawroz Mangal,0
Najeeb Tarakai,Samiullah Shinwari,Asghar Afghan,106
Najeeb Tarakai,Ikram Alikhil,Samiullah Shinwari,0
Najeeb Tarakai,Samiullah Shinwari,Karim Janat,0
Najeeb Tarakai,Usman Ghani,Samiullah Shinwari,0
Najeeb Tarakai,Ihsanullah,Samiullah Shinwari,0
Najeeb Tarakai,Samiullah Shinwari,Nasir Jamal,0
Najeeb Tarakai,Samiullah Shinwari,Rashid Khan,67
Najeeb Tarakai,Rahmat Shah,Samiullah Shinwari,175
Najeeb Tarakai,Naveen-ul-Haq,Samiullah Shinwari,0
Najeeb Tarakai,Ibrahim Zadran,Samiullah Shinwari,0
Najeeb Tarakai,Sharafuddin Ashraf,Samiullah Shinwari,0
Najeeb Tarakai,Samiullah Shinwari,Yamin Ahmadzai,0
Najeeb Tarakai,Dawlat Zadran,Samiullah Shinwari,67
Najeeb Tarakai,Samiullah Shinwari,Gulbadin Naib,67
Najeeb Tarakai,Mohammad Nabi,Samiullah Shinwari,67
Najeeb Tarakai,Samiullah Shinwari,Shapoor Zadran,0
Najeeb Tarakai,Aftab Alam,Samiullah Shinwari,0
Najeeb Tarakai,Samiullah Shinwari,Shafiqullah,67
Najeeb Tarakai,Samiullah Shinwari,Mohammad Shahzad,80
Najeeb Tarakai,Samiullah Shinwari,Noor Ali Zadran,0
Najeeb Tarakai,Samiullah Shinwari,Hashmatullah Shahidi,0
Najeeb Tarakai,Samiullah Shinwari,Mujeeb Ur Rahman,0
Najeeb Tarakai,Samiullah Shinwari,Sayed Shirzad,0
Najeeb Tarakai,Samiullah Shinwari,Nawroz Mangal,0
Najeeb Tarakai,Ikram Alikhil,Asghar Afghan,0
Najeeb Tarakai,Karim Janat,Asghar Afghan,0
Najeeb Tarakai,Usman Ghani,Asghar Afghan,0
Najeeb Tarakai,Ihsanullah,Asghar Afghan,0
Najeeb Tarakai,Nasir Jamal,Asghar Afghan,0
Najeeb Tarakai,Rashid Khan,Asghar Afghan,44
Najeeb Tarakai,Rahmat Shah,Asghar Afghan,152
Najeeb Tarakai,Naveen-ul-Haq,Asghar Afghan,0
Najeeb Tarakai,Ibrahim Zadran,Asghar Afghan,0
Najeeb Tarakai,Sharafuddin Ashraf,Asghar Afghan,0
Najeeb Tarakai,Yamin Ahmadzai,Asghar Afghan,0
Najeeb Tarakai,Dawlat Zadran,Asghar Afghan,44
Najeeb Tarakai,Gulbadin Naib,Asghar Afghan,44
Najeeb Tarakai,Mohammad Nabi,Asghar Afghan,44
Najeeb Tarakai,Shapoor Zadran,Asghar Afghan,0
Najeeb Tarakai,Aftab Alam,Asghar Afghan,0
Najeeb Tarakai,Shafiqullah,Asghar Afghan,44
Najeeb Tarakai,Mohammad Shahzad,Asghar Afghan,57
Najeeb Tarakai,Noor Ali Zadran,Asghar Afghan,0
Najeeb Tarakai,Hashmatullah Shahidi,Asghar Afghan,0
Najeeb Tarakai,Mujeeb Ur Rahman,Asghar Afghan,0
Najeeb Tarakai,Sayed Shirzad,Asghar Afghan,0
Najeeb Tarakai,Nawroz Mangal,Asghar Afghan,0
Najeeb Tarakai,Ikram Alikhil,Karim Janat,0
Najeeb Tarakai,Ikram Alikhil,Usman Ghani,0
Najeeb Tarakai,Ihsanullah,Ikram Alikhil,0
Najeeb Tarakai,Ikram Alikhil,Nasir Jamal,0
Najeeb Tarakai,Ikram Alikhil,Rashid Khan,0
Najeeb Tarakai,Ikram Alikhil,Rahmat Shah,0
Najeeb Tarakai,Ikram Alikhil,Naveen-ul-Haq,0
Najeeb Tarakai,Ibrahim Zadran,Ikram Alikhil,0
Najeeb Tarakai,Ikram Alikhil,Sharafuddin Ashraf,0
Najeeb Tarakai,Ikram Alikhil,Yamin Ahmadzai,0
Najeeb Tarakai,Ikram Alikhil,Dawlat Zadran,0
Najeeb Tarakai,Ikram Alikhil,Gulbadin Naib,0
Najeeb Tarakai,Ikram Alikhil,Mohammad Nabi,0
Najeeb Tarakai,Ikram Alikhil,Shapoor Zadran,0
Najeeb Tarakai,Ikram Alikhil,Aftab Alam,0
