Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
lost,CH Gayle,CH Gayle1,SW Ambris,SW Ambris2,SD Hope,SD Hope3,N Pooran,N Pooran4,SO Hetmyer,SO Hetmyer5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,FA Allen,FA Allen8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,SW Ambris,SW Ambris2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,FA Allen,FA Allen8,SS Cottrell,SS Cottrell9,O Thomas,O Thomas10,ST Gabriel,ST Gabriel11
won,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,FA Allen,FA Allen8,SS Cottrell,SS Cottrell9,KAJ Roach,KAJ Roach10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,RL Chase,RL Chase6,JO Holder,JO Holder7,CR Brathwaite,CR Brathwaite8,KAJ Roach,KAJ Roach9,SS Cottrell,SS Cottrell10,O Thomas,O Thomas11
lost,CH Gayle,CH Gayle1,E Lewis,E Lewis2,SD Hope,SD Hope3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,JO Holder,JO Holder6,CR Brathwaite,CR Brathwaite7,FA Allen,FA Allen8,KMA Paul,KMA Paul9,RL Chase,RL Chase10,KAJ Roach,KAJ Roach11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,RL Chase,RL Chase4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,SS Cottrell,SS Cottrell8,R Shepherd,R Shepherd9,HR Walsh,HR Walsh10,AS Joseph,AS Joseph11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,RL Chase,RL Chase4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,R Shepherd,R Shepherd8,AS Joseph,AS Joseph9,HR Walsh,HR Walsh10,SS Cottrell,SS Cottrell11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,BA King,BA King4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,RL Chase,RL Chase7,KMA Paul,KMA Paul8,R Shepherd,R Shepherd9,AS Joseph,AS Joseph10,HR Walsh,HR Walsh11
won,SD Hope,SD Hope1,SW Ambris,SW Ambris2,SO Hetmyer,SO Hetmyer3,N Pooran,N Pooran4,RL Chase,RL Chase5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,KMA Paul,KMA Paul8,HR Walsh,HR Walsh9,AS Joseph,AS Joseph10,SS Cottrell,SS Cottrell11
lost,E Lewis,E Lewis1,SD Hope,SD Hope2,SO Hetmyer,SO Hetmyer3,RL Chase,RL Chase4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,KMA Paul,KMA Paul8,AS Joseph,AS Joseph9,K Pierre,K Pierre10,SS Cottrell,SS Cottrell11
lost,E Lewis,E Lewis1,SD Hope,SD Hope2,RL Chase,RL Chase3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,KMA Paul,KMA Paul8,AS Joseph,AS Joseph9,K Pierre,K Pierre10,SS Cottrell,SS Cottrell11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,BA King,BA King3,SO Hetmyer,SO Hetmyer4,N Pooran,N Pooran5,RL Chase,RL Chase6,KA Pollard,KA Pollard7,KMA Paul,KMA Paul8,AS Joseph,AS Joseph9,SS Cottrell,SS Cottrell10,HR Walsh,HR Walsh11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,SO Hetmyer,SO Hetmyer3,BA King,BA King4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,R Shepherd,R Shepherd7,K Pierre,K Pierre8,HR Walsh,HR Walsh9,AS Joseph,AS Joseph10,SS Cottrell,SS Cottrell11
won,SD Hope,SD Hope1,E Lewis,E Lewis2,SW Ambris,SW Ambris3,BA King,BA King4,N Pooran,N Pooran5,R Shepherd,R Shepherd6,RL Chase,RL Chase7,KA Pollard,KA Pollard8,HR Walsh,HR Walsh9,AS Joseph,AS Joseph10,O Thomas,O Thomas11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,KMA Paul,KMA Paul8,HR Walsh,HR Walsh9,AS Joseph,AS Joseph10,SS Cottrell,SS Cottrell11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,DM Bravo,DM Bravo3,RL Chase,RL Chase4,N Pooran,N Pooran5,KA Pollard,KA Pollard6,JO Holder,JO Holder7,KMA Paul,KMA Paul8,FA Allen,FA Allen9,AS Joseph,AS Joseph10,SS Cottrell,SS Cottrell11
lost,SD Hope,SD Hope1,SW Ambris,SW Ambris2,N Pooran,N Pooran3,KA Pollard,KA Pollard4,DM Bravo,DM Bravo5,JO Holder,JO Holder6,FA Allen,FA Allen7,HR Walsh,HR Walsh8,RL Chase,RL Chase9,AS Joseph,AS Joseph10,SS Cottrell,SS Cottrell11
