,player-1,player-2,player-3,avg
211,SHA Rance,TWM Latham,GH Worker,68.0
212,SHA Rance,TWM Latham,TG Southee,0.0
213,TWM Latham,KD Mills,JDS Neesham,0.0
214,TWM Latham,KD Mills,HM Nicholls,0.0
215,TWM Latham,KD Mills,KS Williamson,90.0
216,NT Broom,TWM Latham,KD Mills,0.0
217,TWM Latham,KD Mills,DAJ Bracewell,0.0
218,TWM Latham,MJ Henry,KD Mills,0.0
219,AW Mathieson,TWM Latham,KD Mills,0.0
220,TWM Latham,KD Mills,TA Boult,23.0
221,TWM Latham,KD Mills,DL Vettori,71.0
222,TWM Latham,MJ Santner,KD Mills,0.0
223,TWM Latham,AF Milne,KD Mills,23.0
224,TWM Latham,KD Mills,C Munro,0.0
225,TWM Latham,KD Mills,AP Devcich,0.0
226,TWM Latham,KD Mills,KA Jamieson,0.0
227,TWM Latham,KD Mills,TA Blundell,0.0
228,TWM Latham,KD Mills,C de Grandhomme,0.0
229,TWM Latham,KD Mills,IS Sodhi,0.0
230,TWM Latham,LH Ferguson,KD Mills,0.0
231,TWM Latham,KD Mills,HK Bennett,0.0
232,L Ronchi,TWM Latham,KD Mills,53.0
233,TWM Latham,MJ McClenaghan,KD Mills,41.0
234,TWM Latham,SC Kuggeleijn,KD Mills,0.0
235,LRPL Taylor,TWM Latham,KD Mills,64.5
236,JS Patel,TWM Latham,KD Mills,0.0
237,TWM Latham,MS Chapman,KD Mills,0.0
238,TWM Latham,KD Mills,BB McCullum,40.0
239,TWM Latham,KD Mills,NL McCullum,23.0
240,GD Elliott,TWM Latham,KD Mills,73.5
241,TWM Latham,KD Mills,BJ Watling,0.0
242,TWM Latham,BM Wheeler,KD Mills,0.0
243,TWM Latham,GH Worker,KD Mills,0.0
244,TWM Latham,KD Mills,TG Southee,37.0
245,TWM Latham,JDS Neesham,HM Nicholls,74.75
246,TWM Latham,JDS Neesham,KS Williamson,92.3125
247,NT Broom,TWM Latham,JDS Neesham,104.18181818181819
248,TWM Latham,JDS Neesham,DAJ Bracewell,104.0
249,TWM Latham,MJ Henry,JDS Neesham,48.333333333333336
250,AW Mathieson,TWM Latham,JDS Neesham,0.0
251,TWM Latham,TA Boult,JDS Neesham,46.888888888888886
252,TWM Latham,JDS Neesham,DL Vettori,0.0
253,TWM Latham,MJ Santner,JDS Neesham,59.121212121212125
254,TWM Latham,AF Milne,JDS Neesham,116.0
255,TWM Latham,JDS Neesham,C Munro,77.2
256,TWM Latham,JDS Neesham,AP Devcich,56.0
257,TWM Latham,JDS Neesham,KA Jamieson,43.0
258,TA Blundell,TWM Latham,JDS Neesham,59.5
259,TWM Latham,JDS Neesham,C de Grandhomme,56.91304347826087
260,TWM Latham,JDS Neesham,IS Sodhi,58.30769230769231
261,TWM Latham,LH Ferguson,JDS Neesham,39.27777777777778
262,HK Bennett,TWM Latham,JDS Neesham,67.0
263,L Ronchi,TWM Latham,JDS Neesham,88.72727272727273
264,TWM Latham,MJ McClenaghan,JDS Neesham,66.0
265,TWM Latham,SC Kuggeleijn,JDS Neesham,56.0
266,LRPL Taylor,TWM Latham,JDS Neesham,86.90322580645162
267,JS Patel,TWM Latham,JDS Neesham,64.5
268,TWM Latham,MS Chapman,JDS Neesham,11.0
269,TWM Latham,JDS Neesham,BB McCullum,0.0
270,TWM Latham,JDS Neesham,NL McCullum,72.33333333333333
271,GD Elliott,TWM Latham,JDS Neesham,88.33333333333333
272,TWM Latham,JDS Neesham,BJ Watling,54.5
