P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
HM Amla,73,Q de Kock,5,F du Plessis,67,AB de Villiers,45,JP Duminy,15,DA Miller,11,CH Morris,5,WD Parnell,19,AL Phehlukwayo,4,K Rabada,19,Imran Tahir,0
Q de Kock,98,HM Amla,24,F du Plessis,16,AB de Villiers,52,DA Miller,71,F Behardien,17,CH Morris,35,D Pretorius,0,K Rabada,0,AL Phehlukwayo,0,KA Maharaj,0
HM Amla,55,Q de Kock,34,JP Duminy,28,F du Plessis,5,AB de Villiers,27,DA Miller,0,CH Morris,0,WD Parnell,0,KA Maharaj,0,K Rabada,0,M Morkel,0
HM Amla,103,Q de Kock,23,F du Plessis,75,AB de Villiers,4,DA Miller,18,JP Duminy,38,CH Morris,20,WD Parnell,7,K Rabada,0,M Morkel,0,Imran Tahir,0
Q de Kock,33,HM Amla,16,F du Plessis,26,AB de Villiers,0,DA Miller,75,JP Duminy,8,WD Parnell,0,CH Morris,28,K Rabada,26,M Morkel,0,Imran Tahir,0
Q de Kock,53,HM Amla,35,F du Plessis,36,AB de Villiers,16,DA Miller,1,JP Duminy,20,CH Morris,4,AL Phehlukwayo,4,K Rabada,5,M Morkel,0,Imran Tahir,1
Q de Kock,168,HM Amla,110,F du Plessis,0,AB de Villiers,0,DA Miller,0,JP Duminy,0,D Pretorius,0,AL Phehlukwayo,0,K Rabada,0,D Paterson,0,Imran Tahir,0
HM Amla,85,Q de Kock,46,F du Plessis,0,AB de Villiers,176,JP Duminy,30,F Behardien,7,D Pretorius,0,AL Phehlukwayo,0,K Rabada,0,D Paterson,0,Imran Tahir,0
T Bavuma,48,Q de Kock,73,F du Plessis,91,AK Markram,66,AB de Villiers,20,F Behardien,33,PWA Mulder,2,AL Phehlukwayo,5,K Rabada,23,D Paterson,0,Imran Tahir,0
Q de Kock,34,HM Amla,16,F du Plessis,120,AK Markram,9,JP Duminy,12,DA Miller,7,CH Morris,37,AL Phehlukwayo,27,K Rabada,1,M Morkel,0,Imran Tahir,0
HM Amla,23,Q de Kock,20,AK Markram,8,JP Duminy,25,DA Miller,0,K Zondo,25,CH Morris,14,K Rabada,1,M Morkel,1,Imran Tahir,0,T Shamsi,0
HM Amla,1,AK Markram,32,JP Duminy,51,H Klaasen,6,DA Miller,25,K Zondo,17,CH Morris,14,AL Phehlukwayo,3,K Rabada,12,Imran Tahir,8,L Ngidi,6
AK Markram,22,HM Amla,33,JP Duminy,10,AB de Villiers,26,DA Miller,39,H Klaasen,43,AL Phehlukwayo,23,CH Morris,0,K Rabada,0,L Ngidi,0,M Morkel,0
HM Amla,71,AK Markram,32,JP Duminy,1,AB de Villiers,6,DA Miller,36,H Klaasen,39,AL Phehlukwayo,0,K Rabada,3,M Morkel,1,T Shamsi,0,L Ngidi,4
AK Markram,24,HM Amla,10,AB de Villiers,30,K Zondo,54,H Klaasen,22,F Behardien,1,CH Morris,4,AL Phehlukwayo,34,M Morkel,20,Imran Tahir,2,L Ngidi,0
HM Amla,19,Q de Kock,47,AK Markram,0,F du Plessis,47,JP Duminy,53,DA Miller,10,PWA Mulder,14,AL Phehlukwayo,0,K Rabada,0,T Shamsi,0,L Ngidi,0
Q de Kock,87,HM Amla,43,AK Markram,3,F du Plessis,49,JP Duminy,32,DA Miller,3,PWA Mulder,19,AL Phehlukwayo,7,K Rabada,0,T Shamsi,0,L Ngidi,0
HM Amla,59,Q de Kock,2,RR Hendricks,102,F du Plessis,10,JP Duminy,92,DA Miller,51,AL Phehlukwayo,24,PWA Mulder,2,K Rabada,0,T Shamsi,0,L Ngidi,0
Q de Kock,23,HM Amla,40,RR Hendricks,2,JP Duminy,38,H Klaasen,17,DA Miller,21,AL Phehlukwayo,9,PWA Mulder,4,KA Maharaj,17,CJ Dala,3,L Ngidi,1
HM Amla,0,Q de Kock,54,AK Markram,20,RR Hendricks,0,H Klaasen,3,JP Duminy,12,PWA Mulder,2,AL Phehlukwayo,3,KA Maharaj,8,K Rabada,12,CJ Dala,5
AK Markram,27,D Elgar,2,RR Hendricks,5,H Klaasen,44,C Jonker,6,JP Duminy,16,PWA Mulder,14,AL Phehlukwayo,0,K Rabada,0,Imran Tahir,0,L Ngidi,0
