,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
3469,KJ Abbott,DW Steyn,JP Duminy,RR Rossouw,82.33333333333333,69.19
3470,AM Phangiso,MN van Wyk,JP Duminy,WD Parnell,73.0,57.71
3471,AM Phangiso,AL Phehlukwayo,JP Duminy,Q de Kock,88.5,80.28
3472,AM Phangiso,D Pretorius,JP Duminy,Q de Kock,88.5,76.37
3473,K Rabada,AM Phangiso,JP Duminy,Q de Kock,78.0,73.65
3474,K Rabada,AM Phangiso,Imran Tahir,JP Duminy,39.0,31.519999999999996
3475,AM Phangiso,Imran Tahir,JP Duminy,WD Parnell,38.5,35.91
3476,K Rabada,AM Phangiso,JP Duminy,AL Phehlukwayo,52.0,39.870000000000005
3477,AM Phangiso,JP Duminy,WD Parnell,AL Phehlukwayo,52.0,44.260000000000005
3478,K Rabada,AM Phangiso,D Pretorius,JP Duminy,52.0,35.959999999999994
3479,AM Phangiso,D Pretorius,JP Duminy,WD Parnell,52.0,40.35
3480,K Rabada,AM Phangiso,JP Duminy,WD Parnell,47.0,37.63
3481,AM Phangiso,JP Duminy,WD Parnell,RR Rossouw,80.0,74.63
3482,D Elgar,K Rabada,JP Duminy,H Klaasen,62.0,58.489999999999995
3483,D Elgar,DW Steyn,JP Duminy,H Klaasen,70.0,59.23
3484,D Elgar,DW Steyn,Imran Tahir,JP Duminy,70.0,31.93
3485,D Elgar,DW Steyn,JP Duminy,AL Phehlukwayo,97.0,40.28
3486,D Elgar,DW Steyn,JP Duminy,RR Hendricks,70.0,53.83
3487,D Elgar,DW Steyn,L Ngidi,JP Duminy,73.0,32.04
3488,K Rabada,Imran Tahir,JP Duminy,H Klaasen,65.66666666666667,56.519999999999996
3489,DW Steyn,Imran Tahir,JP Duminy,H Klaasen,65.5,57.26
3490,DW Steyn,JP Duminy,H Klaasen,AL Phehlukwayo,79.0,65.61
3491,K Rabada,L Ngidi,JP Duminy,H Klaasen,58.75,56.629999999999995
3492,K Rabada,DW Steyn,JP Duminy,H Klaasen,64.0,58.98
3493,DW Steyn,JP Duminy,H Klaasen,RR Hendricks,98.5,79.16
3494,DW Steyn,L Ngidi,JP Duminy,H Klaasen,70.0,57.37
3495,AL Phehlukwayo,Imran Tahir,JP Duminy,Q de Kock,78.47826086956522,77.97999999999999
3496,Imran Tahir,JP Duminy,D Wiese,Q de Kock,112.0,84.92999999999999
3497,Imran Tahir,JP Duminy,D Paterson,Q de Kock,122.0,67.92999999999999
3498,DW Steyn,Imran Tahir,JP Duminy,Q de Kock,84.08333333333333,72.09
3499,AL Phehlukwayo,D Pretorius,JP Duminy,Q de Kock,82.53846153846153,82.42
3500,K Rabada,AL Phehlukwayo,JP Duminy,Q de Kock,85.66666666666667,79.69999999999999
3501,AL Phehlukwayo,JP Duminy,RR Hendricks,Q de Kock,112.75,99.88
3502,AL Phehlukwayo,RR Rossouw,JP Duminy,Q de Kock,177.2,116.7
3503,AL Phehlukwayo,JP Duminy,D Paterson,Q de Kock,122.0,76.28
3504,AL Phehlukwayo,JP Duminy,L Ngidi,Q de Kock,85.625,78.09
3505,AL Phehlukwayo,JP Duminy,WD Parnell,Q de Kock,101.44444444444444,84.09
3506,DW Steyn,AL Phehlukwayo,JP Duminy,Q de Kock,124.0,80.44
3507,D Pretorius,JP Duminy,D Paterson,Q de Kock,122.0,72.37
