p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Azhar Ali,6,Fakhar Zaman,82,Babar Azam,0,Mohammad Hafeez,1,Shoaib Malik,13,Sarfaraz Ahmed,8,Shadab Khan,28,Faheem Ashraf,17,Mohammad Amir,0,Hasan Ali,0,Rumman Raees,0
Azhar Ali,6,Imam-ul-Haq,2,Babar Azam,10,Mohammad Hafeez,60,Shoaib Malik,27,Sarfaraz Ahmed,3,Shadab Khan,52,Faheem Ashraf,7,Hasan Ali,51,Mohammad Amir,8,Rumman Raees,6
Azhar Ali,0,Fakhar Zaman,2,Babar Azam,8,Mohammad Hafeez,0,Shoaib Malik,3,Sarfaraz Ahmed,14,Shadab Khan,0,Faheem Ashraf,10,Hasan Ali,1,Mohammad Amir,14,Rumman Raees,16
Fakhar Zaman,54,Faheem Ashraf,1,Babar Azam,3,Haris Sohail,50,Mohammad Hafeez,81,Shoaib Malik,6,Sarfaraz Ahmed,51,Hasan Ali,1,Shadab Khan,6,Mohammad Amir,0,Rumman Raees,0
Fakhar Zaman,12,Umar Amin,2,Babar Azam,10,Haris Sohail,63,Mohammad Hafeez,6,Sarfaraz Ahmed,3,Shadab Khan,54,Faheem Ashraf,23,Aamer Yamin,32,Mohammad Nawaz,23,Rumman Raees,5
Imam-ul-Haq,128,Fakhar Zaman,60,Babar Azam,30,Shoaib Malik,22,Asif Ali,46,Faheem Ashraf,0,Sarfaraz Ahmed,13,Hasan Ali,0,Shadab Khan,2,Mohammad Amir,0,Usman Shinwari,0
Imam-ul-Haq,44,Fakhar Zaman,117,Babar Azam,29,Shoaib Malik,0,Sarfaraz Ahmed,0,Asif Ali,0,Faheem Ashraf,0,Shadab Khan,0,Hasan Ali,0,Mohammad Amir,0,Usman Shinwari,0
Imam-ul-Haq,0,Fakhar Zaman,43,Babar Azam,19,Shoaib Malik,0,Asif Ali,0,Sarfaraz Ahmed,0,Faheem Ashraf,0,Shadab Khan,0,Yasir Shah,0,Junaid Khan,0,Usman Shinwari,0
Imam-ul-Haq,113,Fakhar Zaman,210,Asif Ali,50,Babar Azam,0,Shoaib Malik,0,Sarfaraz Ahmed,0,Faheem Ashraf,0,Shadab Khan,0,Yasir Shah,0,Junaid Khan,0,Usman Shinwari,0
Imam-ul-Haq,110,Fakhar Zaman,85,Babar Azam,116,Shoaib Malik,18,Asif Ali,18,Sarfaraz Ahmed,6,Shadab Khan,0,Mohammad Nawaz,0,Mohammad Amir,0,Hasan Ali,0,Junaid Khan,0
Imam-ul-Haq,2,Fakhar Zaman,0,Babar Azam,47,Shoaib Malik,43,Sarfaraz Ahmed,6,Asif Ali,9,Shadab Khan,8,Faheem Ashraf,21,Mohammad Amir,18,Hasan Ali,1,Usman Shinwari,0
Fakhar Zaman,0,Imam-ul-Haq,80,Babar Azam,66,Haris Sohail,13,Shoaib Malik,51,Sarfaraz Ahmed,8,Asif Ali,7,Mohammad Nawaz,10,Hasan Ali,6,Usman Shinwari,0,Shaheen Shah Afridi,0
Imam-ul-Haq,10,Fakhar Zaman,31,Babar Azam,9,Sarfaraz Ahmed,44,Shoaib Malik,78,Asif Ali,30,Shadab Khan,10,Mohammad Nawaz,15,Hasan Ali,2,Mohammad Amir,0,Shaheen Shah Afridi,0
Fakhar Zaman,1,Imam-ul-Haq,83,Babar Azam,1,Sarfaraz Ahmed,10,Shoaib Malik,30,Shadab Khan,4,Asif Ali,31,Mohammad Nawaz,8,Hasan Ali,8,Shaheen Shah Afridi,14,Junaid Khan,3
Imam-ul-Haq,34,Fakhar Zaman,1,Babar Azam,0,Mohammad Hafeez,0,Shoaib Malik,30,Sarfaraz Ahmed,64,Shadab Khan,7,Imad Wasim,50,Hasan Ali,16,Shaheen Shah Afridi,0,Junaid Khan,0
Imam-ul-Haq,16,Fakhar Zaman,88,Babar Azam,46,Mohammad Hafeez,27,Shoaib Malik,10,Sarfaraz Ahmed,13,Shadab Khan,2,Faheem Ashraf,0,Imad Wasim,0,Hasan Ali,0,Shah Afridi,0
Imam-ul-Haq,86,Fakhar Zaman,25,Babar Azam,49,Mohammad Hafeez,71,Shoaib Malik,12,Sarfaraz Ahmed,1,Shadab Khan,18,Imad Wasim,0,Faheem Ashraf,0,Hasan Ali,0,Usman Shinwari,0
Imam-ul-Haq,5,Fakhar Zaman,26,Babar Azam,12,Mohammad Hafeez,9,Shoaib Malik,21,Shadab Khan,18,Hussain Talat,2,Sarfaraz Ahmed,41,Faheem Ashraf,0,Hasan Ali,59,Shaheen Shah Afridi,1
Imam-ul-Haq,101,Fakhar Zaman,2,Babar Azam,69,Mohammad Hafeez,52,Shoaib Malik,31,Imad Wasim,43,Hasan Ali,1,Sarfaraz Ahmed,6,Shadab Khan,0,Mohammad Amir,0,Shaheen Shah Afridi,0
Imam-ul-Haq,71,Fakhar Zaman,44,Babar Azam,41,Mohammad Rizwan,4,Mohammad Hafeez,0,Shoaib Malik,0,Imad Wasim,0,Shadab Khan,0,Mohammad Amir,0,Usman Shinwari,0,Shaheen Shah Afridi,0
Imam-ul-Haq,8,Fakhar Zaman,70,Babar Azam,24,Mohammad Hafeez,17,Shoaib Malik,31,Mohammad Rizwan,10,Shadab Khan,19,Imad Wasim,47,Mohammad Amir,6,Shaheen Shah Afridi,0,Usman Shinwari,0
Imam-ul-Haq,17,Shan Masood,40,Haris Sohail,101,Umar Akmal,48,Shoaib Malik,11,Faheem Ashraf,28,Imad Wasim,28,Mohammad Rizwan,0,Mohammad Amir,0,Yasir Shah,0,Mohammad Abbas,0
Imam-ul-Haq,0,Shan Masood,19,Haris Sohail,34,Mohammad Rizwan,115,Umar Akmal,16,Shoaib Malik,60,Faheem Ashraf,14,Imad Wasim,19,Yasir Shah,1,Mohammad Hasnain,0,Mohammad Abbas,0
Imam-ul-Haq,46,Shan Masood,2,Haris Sohail,1,Mohammad Rizwan,0,Shoaib Malik,31,Umar Akmal,36,Imad Wasim,43,Yasir Shah,10,Usman Shinwari,0,Junaid Khan,5,Mohammad Hasnain,0
Shan Masood,0,Abid Ali,112,Haris Sohail,25,Mohammad Rizwan,104,Umar Akmal,7,Saad Ali,7,Imad Wasim,1,Yasir Shah,3,Usman Shinwari,6,Junaid Khan,0,Mohammad Hasnain,0
Shan Masood,50,Abid Ali,0,Haris Sohail,130,Mohammad Rizwan,12,Umar Akmal,43,Saad Ali,4,Imad Wasim,50,Yasir Shah,11,Usman Shinwari,0,Junaid Khan,0,Mohammad Abbas,0
Imam-ul-Haq,35,Fakhar Zaman,138,Babar Azam,51,Asif Ali,51,Haris Sohail,14,Sarfaraz Ahmed,41,Imad Wasim,8,Faheem Ashraf,3,Hasan Ali,4,Shaheen Shah Afridi,0,Yasir Shah,0
Imam-ul-Haq,151,Fakhar Zaman,2,Babar Azam,15,Haris Sohail,41,Sarfaraz Ahmed,27,Asif Ali,52,Imad Wasim,22,Faheem Ashraf,13,Hasan Ali,18,Shaheen Shah Afridi,7,Junaid Khan,0
Imam-ul-Haq,6,Fakhar Zaman,57,Babar Azam,115,Mohammad Hafeez,59,Shoaib Malik,41,Asif Ali,17,Imad Wasim,12,Sarfaraz Ahmed,21,Hasan Ali,1,Mohammad Hasnain,0,Junaid Khan,0
Fakhar Zaman,0,Abid Ali,5,Babar Azam,80,Mohammad Hafeez,0,Sarfaraz Ahmed,97,Shoaib Malik,4,Asif Ali,22,Imad Wasim,25,Hasan Ali,11,Shaheen Shah Afridi,19,Mohammad Hasnain,28
Imam-ul-Haq,2,Fakhar Zaman,22,Babar Azam,22,Haris Sohail,8,Sarfaraz Ahmed,8,Mohammad Hafeez,16,Imad Wasim,1,Shadab Khan,0,Hasan Ali,1,Wahab Riaz,18,Mohammad Amir,3
Imam-ul-Haq,44,Fakhar Zaman,36,Babar Azam,63,Mohammad Hafeez,84,Sarfaraz Ahmed,55,Asif Ali,14,Shoaib Malik,8,Wahab Riaz,4,Hasan Ali,10,Shadab Khan,10,Mohammad Amir,0
Imam-ul-Haq,53,Fakhar Zaman,0,Babar Azam,30,Mohammad Hafeez,46,Sarfaraz Ahmed,40,Shoaib Malik,0,Asif Ali,5,Hasan Ali,32,Wahab Riaz,45,Mohammad Amir,0,Shaheen Shah Afridi,1
Imam-ul-Haq,7,Fakhar Zaman,62,Babar Azam,48,Mohammad Hafeez,9,Sarfaraz Ahmed,12,Shoaib Malik,0,Imad Wasim,46,Shadab Khan,20,Hasan Ali,0,Wahab Riaz,0,Mohammad Amir,0
Imam-ul-Haq,44,Fakhar Zaman,44,Babar Azam,69,Mohammad Hafeez,20,Haris Sohail,89,Imad Wasim,23,Wahab Riaz,4,Sarfaraz Ahmed,2,Shadab Khan,1,Mohammad Amir,0,Shaheen Shah Afridi,0
Imam-ul-Haq,19,Fakhar Zaman,9,Babar Azam,101,Mohammad Hafeez,32,Haris Sohail,68,Sarfaraz Ahmed,5,Imad Wasim,0,Wahab Riaz,0,Shadab Khan,0,Mohammad Amir,0,Shaheen Shah Afridi,0
Fakhar Zaman,0,Imam-ul-Haq,36,Babar Azam,45,Mohammad Hafeez,19,Haris Sohail,27,Sarfaraz Ahmed,18,Imad Wasim,49,Shadab Khan,11,Wahab Riaz,15,Mohammad Amir,0,Shaheen Shah Afridi,0
Fakhar Zaman,13,Imam-ul-Haq,100,Babar Azam,96,Mohammad Hafeez,27,Haris Sohail,6,Imad Wasim,43,Sarfaraz Ahmed,3,Wahab Riaz,2,Shadab Khan,1,Mohammad Amir,8,Shaheen Shah Afridi,0
Fakhar Zaman,54,Imam-ul-Haq,31,Babar Azam,115,Haris Sohail,40,Sarfaraz Ahmed,8,Iftikhar Ahmed,32,Imad Wasim,12,Wahab Riaz,2,Shadab Khan,0,Mohammad Amir,0,Usman Shinwari,0
Fakhar Zaman,76,Abid Ali,74,Babar Azam,31,Sarfaraz Ahmed,23,Haris Sohail,56,Iftikhar Ahmed,28,Wahab Riaz,1,Mohammad Nawaz,0,Shadab Khan,0,Mohammad Amir,0,Usman Shinwari,0
