Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
won,RG Sharma,54,S Dhawan,49,KL Rahul,4,KM Jadhav,1,V Kohli,4,MS Dhoni,45,HH Pandya,0,AR Patel,6,B Kumar,53,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,124,S Dhawan,5,V Kohli,3,KL Rahul,17,KM Jadhav,0,MS Dhoni,67,HH Pandya,0,AR Patel,0,B Kumar,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,104,S Dhawan,4,V Kohli,131,HH Pandya,19,KL Rahul,7,MK Pandey,50,MS Dhoni,49,AR Patel,0,Kuldeep Yadav,0,JJ Bumrah,0,SN Thakur,0
won,RG Sharma,16,AM Rahane,5,V Kohli,110,MK Pandey,36,KM Jadhav,63,MS Dhoni,1,JJ Bumrah,0,YS Chahal,0,Kuldeep Yadav,0,B Kumar,0,SN Thakur,0
won,AM Rahane,5,RG Sharma,28,V Kohli,0,MK Pandey,0,KM Jadhav,40,MS Dhoni,79,HH Pandya,83,B Kumar,32,Kuldeep Yadav,0,YS Chahal,0,JJ Bumrah,0
won,AM Rahane,55,RG Sharma,7,V Kohli,92,MK Pandey,3,KM Jadhav,24,MS Dhoni,5,HH Pandya,20,B Kumar,20,Kuldeep Yadav,0,JJ Bumrah,10,YS Chahal,1
won,AM Rahane,70,RG Sharma,71,V Kohli,28,HH Pandya,78,KM Jadhav,2,MK Pandey,36,MS Dhoni,3,B Kumar,0,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
lost,AM Rahane,53,RG Sharma,65,V Kohli,21,HH Pandya,41,KM Jadhav,67,MK Pandey,33,MS Dhoni,13,AR Patel,5,Mohammed Shami,6,UT Yadav,2,YS Chahal,0
won,AM Rahane,61,RG Sharma,125,V Kohli,39,KM Jadhav,5,MK Pandey,11,HH Pandya,0,MS Dhoni,0,B Kumar,0,AR Patel,0,JJ Bumrah,0,Kuldeep Yadav,0
lost,RG Sharma,20,S Dhawan,9,V Kohli,121,KM Jadhav,12,KD Karthik,37,MS Dhoni,25,HH Pandya,16,B Kumar,26,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,7,S Dhawan,68,V Kohli,29,KD Karthik,64,HH Pandya,30,MS Dhoni,18,KM Jadhav,0,AR Patel,0,B Kumar,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,147,S Dhawan,14,V Kohli,113,HH Pandya,8,MS Dhoni,25,KM Jadhav,18,KD Karthik,4,AR Patel,0,B Kumar,0,JJ Bumrah,0,YS Chahal,0
lost,RG Sharma,2,S Dhawan,0,SS Iyer,9,KD Karthik,0,MK Pandey,2,MS Dhoni,65,HH Pandya,10,B Kumar,0,Kuldeep Yadav,19,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,208,S Dhawan,68,SS Iyer,88,MS Dhoni,7,HH Pandya,8,KD Karthik,0,MK Pandey,0,B Kumar,0,Washington Sundar,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,7,S Dhawan,100,SS Iyer,65,KD Karthik,26,MS Dhoni,0,HH Pandya,0,MK Pandey,0,B Kumar,0,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
won,RG Sharma,20,S Dhawan,35,V Kohli,112,AM Rahane,79,HH Pandya,3,MS Dhoni,4,KM Jadhav,0,B Kumar,0,Kuldeep Yadav,0,JJ Bumrah,0,YS Chahal,0
