,player-1,player-2,player-3,avg
281,N Pooran,R Shepherd,MN Samuels,0.0
282,N Pooran,DJG Sammy,MN Samuels,0.0
283,N Pooran,SO Dowrich,MN Samuels,0.0
284,N Pooran,ML Cummins,MN Samuels,0.0
285,N Pooran,R Powell,MN Samuels,0.0
286,N Pooran,SD Hope,MN Samuels,0.0
287,N Pooran,J Blackwood,MN Samuels,0.0
288,N Pooran,KMA Paul,MN Samuels,0.0
289,N Pooran,BA King,MN Samuels,0.0
290,N Pooran,MN Samuels,DR Smith,0.0
291,N Pooran,SJ Benn,MN Samuels,0.0
292,N Pooran,KC Brathwaite,MN Samuels,0.0
293,N Pooran,AR Nurse,MN Samuels,0.0
294,N Pooran,OC McCoy,MN Samuels,0.0
295,N Pooran,D Bishoo,MN Samuels,0.0
296,N Pooran,CAK Walton,MN Samuels,0.0
297,N Pooran,K Pierre,MN Samuels,0.0
298,N Pooran,HR Walsh,MN Samuels,0.0
299,N Pooran,MN Samuels,RR Beaton,0.0
300,N Pooran,MN Samuels,FA Allen,0.0
301,N Pooran,ST Gabriel,MN Samuels,0.0
302,N Pooran,MN Samuels,AS Joseph,0.0
303,N Pooran,JD Campbell,MN Samuels,0.0
304,N Pooran,R Rampaul,MN Samuels,0.0
305,N Pooran,DM Bravo,MN Samuels,0.0
306,N Pooran,KAJ Roach,MN Samuels,0.0
307,N Pooran,MN Samuels,KA Hope,0.0
308,N Pooran,E Lewis,MN Samuels,0.0
309,N Pooran,KA Pollard,SP Narine,0.0
310,N Pooran,NO Miller,KA Pollard,0.0
311,N Pooran,KOK Williams,KA Pollard,0.0
312,N Pooran,KOA Powell,KA Pollard,0.0
313,N Pooran,CR Brathwaite,KA Pollard,0.0
314,N Pooran,CH Gayle,KA Pollard,0.0
315,N Pooran,AD Russell,KA Pollard,0.0
316,N Pooran,LMP Simmons,KA Pollard,0.0
317,N Pooran,SO Hetmyer,KA Pollard,92.25
318,N Pooran,V Permaul,KA Pollard,0.0
319,N Pooran,J Charles,KA Pollard,0.0
320,N Pooran,N Deonarine,KA Pollard,0.0
321,N Pooran,RA Reifer,KA Pollard,0.0
322,N Pooran,JE Taylor,KA Pollard,0.0
323,N Pooran,SS Cottrell,KA Pollard,61.2
324,N Pooran,SW Ambris,KA Pollard,63.4
325,N Pooran,D Ramdin,KA Pollard,0.0
326,N Pooran,JL Carter,KA Pollard,0.0
327,N Pooran,LR Johnson,KA Pollard,0.0
328,N Pooran,ADS Fletcher,KA Pollard,0.0
329,N Pooran,R Shepherd,KA Pollard,56.2
330,N Pooran,DJG Sammy,KA Pollard,0.0
331,N Pooran,SO Dowrich,KA Pollard,0.0
332,N Pooran,ML Cummins,KA Pollard,0.0
333,N Pooran,R Powell,KA Pollard,0.0
334,N Pooran,SD Hope,KA Pollard,119.41666666666667
335,N Pooran,J Blackwood,KA Pollard,0.0
336,N Pooran,KMA Paul,KA Pollard,69.57142857142857
337,N Pooran,BA King,KA Pollard,75.5
338,N Pooran,KA Pollard,DR Smith,0.0
339,N Pooran,SJ Benn,KA Pollard,0.0
340,N Pooran,KC Brathwaite,KA Pollard,0.0
341,N Pooran,AR Nurse,KA Pollard,0.0
342,N Pooran,OC McCoy,KA Pollard,0.0
343,N Pooran,D Bishoo,KA Pollard,0.0
344,N Pooran,CAK Walton,KA Pollard,0.0
345,N Pooran,K Pierre,KA Pollard,123.0
346,N Pooran,HR Walsh,KA Pollard,55.888888888888886
347,N Pooran,KA Pollard,RR Beaton,0.0
348,N Pooran,KA Pollard,FA Allen,92.0
349,N Pooran,ST Gabriel,KA Pollard,0.0
350,N Pooran,KA Pollard,AS Joseph,59.75
351,N Pooran,JD Campbell,KA Pollard,0.0
352,N Pooran,R Rampaul,KA Pollard,0.0
353,N Pooran,DM Bravo,KA Pollard,71.0
354,N Pooran,KAJ Roach,KA Pollard,0.0
355,N Pooran,KA Pollard,KA Hope,0.0
356,N Pooran,E Lewis,KA Pollard,105.25
357,N Pooran,NO Miller,SP Narine,0.0
