Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
lost,E Lewis,2,KA Hope,19,SD Hope,24,RL Chase,2,JN Mohammed,40,JO Holder,6,R Powell,30,AR Nurse,6,D Bishoo,4,ML Cummins,1,KOK Williams,1
won,E Lewis,35,KA Hope,35,SD Hope,25,RL Chase,24,JN Mohammed,20,JO Holder,11,R Powell,2,AR Nurse,4,D Bishoo,15,AS Joseph,5,KOK Williams,2
lost,E Lewis,9,KA Hope,46,SD Hope,51,RL Chase,0,JN Mohammed,16,JO Holder,36,R Powell,31,AR Nurse,0,D Bishoo,6,AS Joseph,3,KOK Williams,0
lost,CH Gayle,37,E Lewis,11,SD Hope,35,MN Samuels,17,JN Mohammed,18,R Powell,23,JO Holder,41,AR Nurse,1,D Bishoo,5,JE Taylor,2,KOK Williams,0
lost,CH Gayle,94,E Lewis,13,SD Hope,20,MN Samuels,11,JN Mohammed,38,R Powell,8,JO Holder,34,AR Nurse,1,D Bishoo,12,JE Taylor,0,ML Cummins,4
lost,CH Gayle,2,E Lewis,176,SD Hope,11,MN Samuels,1,JN Mohammed,46,JO Holder,77,R Powell,28,AR Nurse,0,JE Taylor,0,AS Joseph,0,ML Cummins,0
lost,CH Gayle,40,KA Hope,33,SD Hope,72,MN Samuels,32,JN Mohammed,25,SW Ambris,38,R Powell,11,AR Nurse,31,AS Joseph,0,JE Taylor,0,ML Cummins,0
lost,CH Gayle,22,E Lewis,76,SD Hope,0,SO Hetmyer,29,JN Mohammed,9,JO Holder,8,R Powell,59,AR Nurse,2,RR Beaton,3,KOK Williams,16,ST Gabriel,0
lost,E Lewis,10,KA Hope,4,SD Hope,23,SO Hetmyer,2,JN Mohammed,18,JO Holder,13,R Powell,0,AR Nurse,27,SS Cottrell,8,RR Beaton,12,ST Gabriel,0
lost,CH Gayle,4,CAK Walton,0,SD Hope,2,KA Hope,1,JN Mohammed,1,JO Holder,34,R Powell,11,AR Nurse,1,NO Miller,20,SS Cottrell,3,ST Gabriel,12
won,CH Gayle,14,E Lewis,9,SO Hetmyer,36,MN Samuels,2,SD Hope,7,JO Holder,54,R Powell,101,CR Brathwaite,11,AR Nurse,10,KAJ Roach,0,KOK Williams,0
lost,CH Gayle,1,E Lewis,27,SO Hetmyer,15,MN Samuels,36,SD Hope,43,JO Holder,28,R Powell,3,CR Brathwaite,4,AR Nurse,10,KMA Paul,16,NO Miller,0
won,CH Gayle,17,E Lewis,64,SD Hope,76,MN Samuels,86,SO Hetmyer,13,JO Holder,6,R Powell,15,AR Nurse,8,KMA Paul,0,D Bishoo,0,KAJ Roach,0
lost,CH Gayle,10,E Lewis,27,SD Hope,23,MN Samuels,17,SO Hetmyer,38,JO Holder,0,R Powell,44,CR Brathwaite,14,AR Nurse,26,KMA Paul,0,KAJ Roach,0
lost,CH Gayle,40,E Lewis,17,SD Hope,6,SO Hetmyer,52,JN Mohammed,10,JO Holder,17,R Powell,0,AD Russell,13,AR Nurse,7,D Bishoo,29,AS Joseph,29
won,CH Gayle,29,E Lewis,12,SD Hope,25,SO Hetmyer,125,JN Mohammed,12,R Powell,44,JO Holder,7,AR Nurse,3,KMA Paul,4,D Bishoo,0,AS Joseph,1
lost,CH Gayle,73,E Lewis,13,SD Hope,64,SO Hetmyer,30,KOA Powell,4,R Powell,74,JO Holder,9,AR Nurse,5,KMA Paul,0,D Bishoo,0,SS Cottrell,0
lost,KOA Powell,51,C Hemraj,9,SD Hope,32,MN Samuels,0,SO Hetmyer,106,R Powell,22,JO Holder,38,AR Nurse,2,D Bishoo,22,KAJ Roach,26,O Thomas,0
won,KOA Powell,21,C Hemraj,15,SD Hope,95,MN Samuels,9,SO Hetmyer,37,R Powell,4,JO Holder,32,FA Allen,5,AR Nurse,40,KAJ Roach,15,OC McCoy,0
lost,C Hemraj,14,KOA Powell,4,SD Hope,0,MN Samuels,18,SO Hetmyer,13,R Powell,1,JO Holder,54,FA Allen,10,AR Nurse,8,KMA Paul,19,KAJ Roach,6
lost,KOA Powell,0,R Powell,16,SD Hope,0,MN Samuels,24,SO Hetmyer,9,JO Holder,25,FA Allen,4,KMA Paul,5,D Bishoo,8,KAJ Roach,5,O Thomas,0
lost,KOA Powell,10,SD Hope,43,DM Bravo,19,MN Samuels,25,SO Hetmyer,6,R Powell,14,RL Chase,32,KMA Paul,36,KAJ Roach,5,D Bishoo,0,O Thomas,0
won,C Hemraj,3,SD Hope,146,DM Bravo,27,MN Samuels,26,SO Hetmyer,14,R Powell,1,RL Chase,9,KMA Paul,18,KAJ Roach,0,D Bishoo,0,O Thomas,0
lost,C Hemraj,9,SD Hope,108,DM Bravo,10,MN Samuels,19,SO Hetmyer,0,R Powell,1,RL Chase,8,FA Allen,6,KMA Paul,12,KAJ Roach,3,D Bishoo,6
lost,CH Gayle,135,JD Campbell,30,SD Hope,64,SO Hetmyer,20,N Pooran,0,DM Bravo,40,JO Holder,16,CR Brathwaite,3,AR Nurse,25,D Bishoo,9,O Thomas,18
won,CH Gayle,50,JD Campbell,23,SD Hope,33,DM Bravo,25,SO Hetmyer,104,JO Holder,3,CR Brathwaite,13,AR Nurse,13,D Bishoo,0,SS Cottrell,0,O Thomas,0
lost,CH Gayle,162,JD Campbell,15,SD Hope,5,DM Bravo,61,SO Hetmyer,6,JO Holder,29,CR Brathwaite,50,AR Nurse,43,D Bishoo,0,SS Cottrell,0,O Thomas,0
won,CH Gayle,77,JD Campbell,1,SD Hope,13,DM Bravo,7,SO Hetmyer,11,JO Holder,0,CR Brathwaite,0,AR Nurse,0,D Bishoo,0,SS Cottrell,0,O Thomas,0
won,JD Campbell,179,SD Hope,170,DM Bravo,9,JO Holder,1,RL Chase,0,JL Carter,0,SW Ambris,0,AR Nurse,0,KAJ Roach,0,SS Cottrell,0,ST Gabriel,0
lost,SD Hope,109,SW Ambris,38,DM Bravo,1,RL Chase,51,JL Carter,11,JO Holder,4,SO Dowrich,6,AR Nurse,19,KAJ Roach,1,SS Cottrell,4,ST Gabriel,0
won,SD Hope,30,SW Ambris,148,DM Bravo,17,RL Chase,46,JL Carter,43,JO Holder,36,FA Allen,0,AR Nurse,0,KAJ Roach,0,SS Cottrell,0,ST Gabriel,0
lost,SD Hope,87,SW Ambris,23,DM Bravo,6,RL Chase,19,JL Carter,3,JO Holder,62,FA Allen,7,AR Nurse,14,RA Reifer,7,KAJ Roach,3,SS Cottrell,8
lost,SD Hope,74,SW Ambris,69,DM Bravo,3,RL Chase,0,JL Carter,0,JO Holder,0,FA Allen,0,AR Nurse,0,KAJ Roach,0,RA Reifer,0,ST Gabriel,0
won,CH Gayle,50,SD Hope,11,DM Bravo,0,N Pooran,34,SO Hetmyer,7,AD Russell,0,JO Holder,0,CR Brathwaite,0,AR Nurse,0,SS Cottrell,0,O Thomas,0
lost,CH Gayle,21,E Lewis,1,SD Hope,68,N Pooran,40,SO Hetmyer,21,JO Holder,51,AD Russell,15,CR Brathwaite,16,AR Nurse,19,SS Cottrell,1,O Thomas,0
