InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1593,DN,England,JJ Roy,84,JM Bairstow,39,JE Root,14,EJG Morgan,19,JC Buttler,43,SW Billings,2,MM Ali,48,CR Woakes,0,AU Rashid,0,LE Plunkett,0,JT Ball,0
1597,DN,England,JJ Roy,96,JM Bairstow,141,JE Root,46,EJG Morgan,0,JC Buttler,0,SW Billings,0,MM Ali,0,TK Curran,0,AU Rashid,0,LE Plunkett,0,JT Ball,0
1647,DN,England,JJ Roy,180,JM Bairstow,14,AD Hales,4,JE Root,91,EJG Morgan,1,JC Buttler,4,MM Ali,5,CR Woakes,0,AU Rashid,0,LE Plunkett,0,MA Wood,0
1657,DN,England,JJ Roy,2,JM Bairstow,60,AD Hales,57,JE Root,46,EJG Morgan,21,JC Buttler,42,MM Ali,1,CR Woakes,39,AU Rashid,0,LE Plunkett,0,MA Wood,0
1661,DN,England,JJ Roy,19,JM Bairstow,39,AD Hales,1,JE Root,27,EJG Morgan,41,JC Buttler,100,MM Ali,6,CR Woakes,53,AU Rashid,0,LE Plunkett,0,MA Wood,0
1670,DN,England,JJ Roy,0,JM Bairstow,0,AD Hales,3,JE Root,0,EJG Morgan,33,JC Buttler,0,MM Ali,33,CR Woakes,78,AU Rashid,7,TK Curran,35,MA Wood,2
1673,D,England,JJ Roy,49,JM Bairstow,44,AD Hales,35,JE Root,62,EJG Morgan,3,JC Buttler,21,MM Ali,6,AU Rashid,12,DJ Willey,2,TK Curran,11,JT Ball,0
1698,DN,England,JJ Roy,49,JM Bairstow,4,JE Root,71,EJG Morgan,8,BA Stokes,12,JC Buttler,79,MM Ali,28,CR Woakes,11,DJ Willey,11,TK Curran,0,AU Rashid,0
1699,DN,England,JJ Roy,8,JM Bairstow,37,JE Root,9,EJG Morgan,62,BA Stokes,63,JC Buttler,36,MM Ali,0,CR Woakes,0,DJ Willey,0,TK Curran,0,AU Rashid,0
1701,DN,England,JJ Roy,15,JM Bairstow,19,JE Root,20,EJG Morgan,48,BA Stokes,39,JC Buttler,29,MM Ali,23,CR Woakes,16,AU Rashid,11,TK Curran,2,MA Wood,1
1706,D,England,JJ Roy,42,JM Bairstow,138,JE Root,102,JC Buttler,0,EJG Morgan,5,BA Stokes,1,MM Ali,3,CR Woakes,3,AU Rashid,11,TK Curran,22,MA Wood,3
1707,D,England,JM Bairstow,104,AD Hales,61,JE Root,23,EJG Morgan,8,BA Stokes,26,JC Buttler,0,MM Ali,0,CR Woakes,0,AU Rashid,0,TK Curran,0,MA Wood,0
1721,DN,England,JJ Roy,0,JM Bairstow,28,AD Hales,5,JE Root,50,EJG Morgan,69,JC Buttler,9,MM Ali,17,DJ Willey,35,LE Plunkett,3,AU Rashid,0,MA Wood,0
