Result,p1,pp1,p2,pp2,p3,pp3,p4,pp4,p5,pp5,p6,pp6,p7,pp7,p8,pp8,p9,pp9,p10,pp10,p11,pp11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,RR Rossouw,RR Rossouw3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,WD Parnell,WD Parnell7,AM Phangiso,AM Phangiso8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,T Shamsi,T Shamsi11
lost,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,JP Duminy,JP Duminy5,F Behardien,F Behardien6,WD Parnell,WD Parnell7,KJ Abbott,KJ Abbott8,AM Phangiso,AM Phangiso9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,CH Morris,CH Morris3,F du Plessis,F du Plessis4,AB de Villiers,AB de Villiers5,JP Duminy,JP Duminy6,F Behardien,F Behardien7,WD Parnell,WD Parnell8,K Rabada,K Rabada9,Imran Tahir,Imran Tahir10,T Shamsi,T Shamsi11
lost,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,AB de Villiers,AB de Villiers4,F Behardien,F Behardien5,JP Duminy,JP Duminy6,CH Morris,CH Morris7,WD Parnell,WD Parnell8,K Rabada,K Rabada9,M Morkel,M Morkel10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,T Bavuma,T Bavuma2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,DA Miller,DA Miller5,F Behardien,F Behardien6,D Pretorius,D Pretorius7,WD Parnell,WD Parnell8,AL Phehlukwayo,AL Phehlukwayo9,K Rabada,K Rabada10,AM Phangiso,AM Phangiso11
won,Q de Kock,Q de Kock1,RR Rossouw,RR Rossouw2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,DA Miller,DA Miller5,F Behardien,F Behardien6,AL Phehlukwayo,AL Phehlukwayo7,WD Parnell,WD Parnell8,DW Steyn,DW Steyn9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,RR Rossouw,RR Rossouw2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,DA Miller,DA Miller5,F Behardien,F Behardien6,WD Parnell,WD Parnell7,AL Phehlukwayo,AL Phehlukwayo8,DW Steyn,DW Steyn9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,D Pretorius,D Pretorius7,AL Phehlukwayo,AL Phehlukwayo8,DW Steyn,DW Steyn9,K Rabada,K Rabada10,Imran Tahir,Imran Tahir11
won,HM Amla,HM Amla1,Q de Kock,Q de Kock2,F du Plessis,F du Plessis3,JP Duminy,JP Duminy4,RR Rossouw,RR Rossouw5,F Behardien,F Behardien6,D Pretorius,D Pretorius7,AL Phehlukwayo,AL Phehlukwayo8,KJ Abbott,KJ Abbott9,AM Phangiso,AM Phangiso10,T Shamsi,T Shamsi11
won,Q de Kock,Q de Kock1,HM Amla,HM Amla2,F du Plessis,F du Plessis3,RR Rossouw,RR Rossouw4,JP Duminy,JP Duminy5,DA Miller,DA Miller6,AL Phehlukwayo,AL Phehlukwayo7,K Rabada,K Rabada8,KJ Abbott,KJ Abbott9,DW Steyn,DW Steyn10,Imran Tahir,Imran Tahir11
