,player-1,player-2,avg
228,Harbhajan Singh,RV Uthappa,16.333333333333332
229,RV Uthappa,DL Chahar,0.0
230,KK Ahmed,RV Uthappa,0.0
231,Shubman Gill,RV Uthappa,0.0
232,MS Dhoni,RV Uthappa,0.0
233,AT Rayudu,RV Uthappa,89.0
234,RV Uthappa,FY Fazal,0.0
235,RV Uthappa,V Shankar,0.0
236,RV Uthappa,I Sharma,0.0
237,RA Jadeja,RV Uthappa,0.0
238,RV Uthappa,AR Patel,15.666666666666666
239,RV Uthappa,S Dube,0.0
240,M Vijay,B Kumar,28.666666666666668
241,M Vijay,Yuvraj Singh,0.0
242,M Vijay,Gurkeerat Singh,0.0
243,V Kohli,M Vijay,0.0
244,M Vijay,SS Iyer,0.0
245,M Vijay,R Ashwin,0.0
246,M Vijay,J Yadav,0.0
247,M Vijay,YS Chahal,0.0
248,M Vijay,KK Nair,0.0
249,M Vijay,MK Tiwary,40.0
250,M Vijay,MK Pandey,84.0
251,M Vijay,Mohammed Siraj,0.0
252,M Vijay,KM Jadhav,70.66666666666667
253,M Vijay,UT Yadav,0.0
254,M Vijay,Kuldeep Yadav,0.0
255,M Vijay,RG Sharma,0.0
256,M Vijay,STR Binny,68.66666666666667
257,M Vijay,BB Sran,0.0
258,M Vijay,SN Thakur,0.0
259,M Vijay,S Kaul,0.0
260,M Vijay,NA Saini,0.0
261,KL Rahul,M Vijay,0.0
262,M Vijay,PP Shaw,0.0
263,M Vijay,A Mishra,0.0
264,M Vijay,R Dhawan,0.0
265,KD Karthik,M Vijay,0.0
266,M Vijay,JJ Bumrah,0.0
267,M Vijay,Mohammed Shami,0.0
268,M Vijay,MM Sharma,13.0
269,M Vijay,Washington Sundar,0.0
270,M Vijay,RR Pant,0.0
271,M Vijay,DS Kulkarni,36.5
272,M Vijay,HH Pandya,0.0
273,M Vijay,Harbhajan Singh,30.333333333333332
274,M Vijay,DL Chahar,0.0
275,M Vijay,KK Ahmed,0.0
276,M Vijay,Shubman Gill,0.0
277,M Vijay,MS Dhoni,0.0
278,M Vijay,AT Rayudu,119.0
279,M Vijay,FY Fazal,0.0
280,M Vijay,V Shankar,0.0
281,M Vijay,I Sharma,0.0
282,M Vijay,RA Jadeja,0.0
283,M Vijay,AR Patel,29.666666666666668
284,M Vijay,S Dube,0.0
285,B Kumar,Yuvraj Singh,39.333333333333336
286,B Kumar,Gurkeerat Singh,7.0
287,V Kohli,B Kumar,59.07142857142857
288,SS Iyer,B Kumar,53.0
289,R Ashwin,B Kumar,4.166666666666667
290,B Kumar,J Yadav,0.0
291,B Kumar,YS Chahal,7.027027027027027
292,B Kumar,KK Nair,0.0
293,B Kumar,MK Tiwary,11.333333333333334
294,B Kumar,MK Pandey,21.1
295,B Kumar,Mohammed Siraj,0.0
296,B Kumar,KM Jadhav,21.555555555555557
297,B Kumar,UT Yadav,5.0
298,Kuldeep Yadav,B Kumar,8.777777777777779
299,RG Sharma,B Kumar,64.86666666666666
300,STR Binny,B Kumar,34.4
301,B Kumar,BB Sran,0.0
302,B Kumar,SN Thakur,21.5
303,S Kaul,B Kumar,0.0
304,B Kumar,NA Saini,0.0
305,KL Rahul,B Kumar,33.5
306,B Kumar,PP Shaw,0.0
307,B Kumar,A Mishra,1.5
308,R Dhawan,B Kumar,11.0
309,KD Karthik,B Kumar,21.57894736842105
310,JJ Bumrah,B Kumar,6.585365853658536
311,Mohammed Shami,B Kumar,7.769230769230769
312,B Kumar,MM Sharma,8.5
313,Washington Sundar,B Kumar,0.0
314,B Kumar,RR Pant,30.0
315,B Kumar,DS Kulkarni,1.6666666666666667
316,B Kumar,HH Pandya,23.026315789473685
317,B Kumar,Harbhajan Singh,8.857142857142858
318,B Kumar,DL Chahar,0.0
319,B Kumar,KK Ahmed,7.0
320,B Kumar,Shubman Gill,11.5
321,B Kumar,MS Dhoni,32.25423728813559
322,B Kumar,AT Rayudu,36.5
323,B Kumar,FY Fazal,0.0
324,B Kumar,V Shankar,22.142857142857142
325,B Kumar,I Sharma,2.0
326,RA Jadeja,B Kumar,16.041666666666668
327,B Kumar,AR Patel,7.625
328,B Kumar,S Dube,0.0
329,Yuvraj Singh,Gurkeerat Singh,0.0
330,V Kohli,Yuvraj Singh,90.9
331,SS Iyer,Yuvraj Singh,0.0
332,R Ashwin,Yuvraj Singh,40.625
333,Yuvraj Singh,J Yadav,0.0
334,YS Chahal,Yuvraj Singh,0.0
335,KK Nair,Yuvraj Singh,0.0
336,Yuvraj Singh,MK Tiwary,0.0
337,Yuvraj Singh,MK Pandey,0.0
338,Yuvraj Singh,Mohammed Siraj,0.0
339,Yuvraj Singh,KM Jadhav,68.7
340,Yuvraj Singh,UT Yadav,25.6
341,Kuldeep Yadav,Yuvraj Singh,26.5
342,RG Sharma,Yuvraj Singh,81.8
343,STR Binny,Yuvraj Singh,0.0
344,Yuvraj Singh,BB Sran,0.0
345,SN Thakur,Yuvraj Singh,0.0
346,S Kaul,Yuvraj Singh,0.0
347,NA Saini,Yuvraj Singh,0.0
348,KL Rahul,Yuvraj Singh,78.0
349,PP Shaw,Yuvraj Singh,0.0
350,A Mishra,Yuvraj Singh,0.0
351,R Dhawan,Yuvraj Singh,0.0
352,KD Karthik,Yuvraj Singh,0.0
353,JJ Bumrah,Yuvraj Singh,39.5
354,Mohammed Shami,Yuvraj Singh,0.0
355,MM Sharma,Yuvraj Singh,0.0
356,Washington Sundar,Yuvraj Singh,0.0
357,RR Pant,Yuvraj Singh,0.0
358,DS Kulkarni,Yuvraj Singh,0.0
359,HH Pandya,Yuvraj Singh,59.2
360,Harbhajan Singh,Yuvraj Singh,0.0
361,Yuvraj Singh,DL Chahar,0.0
362,KK Ahmed,Yuvraj Singh,0.0
363,Shubman Gill,Yuvraj Singh,0.0
364,MS Dhoni,Yuvraj Singh,69.1
365,AT Rayudu,Yuvraj Singh,0.0
366,Yuvraj Singh,FY Fazal,0.0
367,Yuvraj Singh,V Shankar,0.0
368,Yuvraj Singh,I Sharma,0.0
369,RA Jadeja,Yuvraj Singh,46.125
370,Yuvraj Singh,AR Patel,0.0
371,Yuvraj Singh,S Dube,0.0
372,V Kohli,Gurkeerat Singh,81.33333333333333
373,SS Iyer,Gurkeerat Singh,0.0
374,R Ashwin,Gurkeerat Singh,0.0
375,Gurkeerat Singh,J Yadav,0.0
376,YS Chahal,Gurkeerat Singh,0.0
377,KK Nair,Gurkeerat Singh,0.0
378,Gurkeerat Singh,MK Tiwary,0.0
379,Gurkeerat Singh,MK Pandey,104.0
380,Gurkeerat Singh,Mohammed Siraj,0.0
381,Gurkeerat Singh,KM Jadhav,0.0
382,Gurkeerat Singh,UT Yadav,5.0
383,Kuldeep Yadav,Gurkeerat Singh,0.0
384,RG Sharma,Gurkeerat Singh,53.0
385,STR Binny,Gurkeerat Singh,0.0
386,Gurkeerat Singh,BB Sran,8.0
387,SN Thakur,Gurkeerat Singh,0.0
388,S Kaul,Gurkeerat Singh,0.0
389,NA Saini,Gurkeerat Singh,0.0
390,KL Rahul,Gurkeerat Singh,0.0
391,PP Shaw,Gurkeerat Singh,0.0
392,A Mishra,Gurkeerat Singh,0.0
393,R Dhawan,Gurkeerat Singh,8.333333333333334
394,KD Karthik,Gurkeerat Singh,0.0
395,JJ Bumrah,Gurkeerat Singh,0.0
396,Mohammed Shami,Gurkeerat Singh,0.0
397,MM Sharma,Gurkeerat Singh,0.0
398,Washington Sundar,Gurkeerat Singh,0.0
399,RR Pant,Gurkeerat Singh,0.0
400,DS Kulkarni,Gurkeerat Singh,0.0
401,HH Pandya,Gurkeerat Singh,0.0
402,Harbhajan Singh,Gurkeerat Singh,0.0
403,Gurkeerat Singh,DL Chahar,0.0
404,KK Ahmed,Gurkeerat Singh,0.0
405,Shubman Gill,Gurkeerat Singh,0.0
406,MS Dhoni,Gurkeerat Singh,23.333333333333332
407,AT Rayudu,Gurkeerat Singh,0.0
408,Gurkeerat Singh,FY Fazal,0.0
409,Gurkeerat Singh,V Shankar,0.0
410,Gurkeerat Singh,I Sharma,4.333333333333333
411,RA Jadeja,Gurkeerat Singh,14.333333333333334
412,Gurkeerat Singh,AR Patel,0.0
413,Gurkeerat Singh,S Dube,0.0
414,V Kohli,SS Iyer,100.5
415,V Kohli,R Ashwin,46.22727272727273
416,V Kohli,J Yadav,66.0
417,V Kohli,YS Chahal,62.578947368421055
418,V Kohli,KK Nair,0.0
419,V Kohli,MK Tiwary,0.0
420,V Kohli,MK Pandey,84.44444444444444
421,V Kohli,Mohammed Siraj,104.0
422,V Kohli,KM Jadhav,79.19642857142857
423,V Kohli,UT Yadav,53.05882352941177
424,V Kohli,Kuldeep Yadav,65.25
425,V Kohli,RG Sharma,114.2235294117647
426,V Kohli,STR Binny,29.5
427,V Kohli,BB Sran,89.0
428,V Kohli,SN Thakur,69.4
429,V Kohli,S Kaul,60.5
430,V Kohli,NA Saini,65.8
431,V Kohli,KL Rahul,82.32142857142857
432,V Kohli,PP Shaw,53.0
433,V Kohli,A Mishra,67.77777777777777
434,V Kohli,R Dhawan,81.0
435,V Kohli,KD Karthik,76.07692307692308
436,V Kohli,JJ Bumrah,60.370370370370374
437,V Kohli,Mohammed Shami,54.945945945945944
438,V Kohli,MM Sharma,41.0
439,V Kohli,Washington Sundar,0.0
440,V Kohli,RR Pant,78.35714285714286
441,V Kohli,DS Kulkarni,40.0
442,V Kohli,HH Pandya,79.59574468085107
443,V Kohli,Harbhajan Singh,69.0
444,V Kohli,DL Chahar,5.0
445,V Kohli,KK Ahmed,76.57142857142857
446,V Kohli,Shubman Gill,0.0
447,V Kohli,MS Dhoni,86.36144578313252
448,V Kohli,AT Rayudu,79.625
449,V Kohli,FY Fazal,0.0
450,V Kohli,V Shankar,76.18181818181819
451,V Kohli,I Sharma,72.5
452,V Kohli,RA Jadeja,63.479166666666664
453,V Kohli,AR Patel,55.5
454,V Kohli,S Dube,13.0
455,R Ashwin,SS Iyer,0.0
456,SS Iyer,J Yadav,0.0
457,SS Iyer,YS Chahal,44.333333333333336
458,SS Iyer,KK Nair,0.0
