Result,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,MS Dhoni,KM Jadhav,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,AM Rahane,HH Pandya,MS Dhoni,KM Jadhav,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
lost,RG Sharma,S Dhawan,V Kohli,AM Rahane,SS Iyer,MS Dhoni,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,S Dhawan,RG Sharma,V Kohli,AM Rahane,SS Iyer,HH Pandya,MS Dhoni,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
won,S Dhawan,RG Sharma,V Kohli,AM Rahane,SS Iyer,MS Dhoni,HH Pandya,Kuldeep Yadav,SN Thakur,JJ Bumrah,YS Chahal
won,RG Sharma,S Dhawan,V Kohli,KL Rahul,SK Raina,MS Dhoni,HH Pandya,S Kaul,Kuldeep Yadav,UT Yadav,YS Chahal
lost,RG Sharma,S Dhawan,V Kohli,KL Rahul,SK Raina,MS Dhoni,HH Pandya,UT Yadav,Kuldeep Yadav,S Kaul,YS Chahal
lost,RG Sharma,S Dhawan,V Kohli,KD Karthik,MS Dhoni,SK Raina,HH Pandya,B Kumar,SN Thakur,Kuldeep Yadav,YS Chahal
won,RG Sharma,S Dhawan,AT Rayudu,KD Karthik,MS Dhoni,KM Jadhav,HH Pandya,B Kumar,Kuldeep Yadav,YS Chahal,JJ Bumrah
won,RG Sharma,S Dhawan,AT Rayudu,MS Dhoni,KD Karthik,KM Jadhav,RA Jadeja,B Kumar,Kuldeep Yadav,YS Chahal,JJ Bumrah
won,RG Sharma,S Dhawan,AT Rayudu,KM Jadhav,MS Dhoni,KD Karthik,Kuldeep Yadav,RA Jadeja,YS Chahal,B Kumar,JJ Bumrah
won,RG Sharma,S Dhawan,AT Rayudu,KD Karthik,MS Dhoni,KM Jadhav,RA Jadeja,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal
